日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-01-11,マイジャグラーV,131,1308,+251,6,4,1/130.8,1/218.0,1/327.0
2023-01-11,マイジャグラーV,132,75,-54,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,マイジャグラーV,133,56,-77,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,マイジャグラーV,135,40,-88,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,マイジャグラーV,136,2601,-439,9,5,1/185.8,1/289.0,1/520.2
2023-01-11,マイジャグラーV,平均,816,-81,3,2,1/170.0,1/272.0,1/453.3
2023-01-11,ファンキージャグラー2,137,660,-236,2,2,1/165.0,1/330.0,1/330.0
2023-01-11,ファンキージャグラー2,138,120,-146,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,ファンキージャグラー2,150,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,ファンキージャグラー2,151,423,-57,2,0,1/211.5,1/211.5,1/0.0
2023-01-11,ファンキージャグラー2,平均,301,-110,1,0,1/200.5,1/300.8,1/601.5
2023-01-11,HEY！エリートサラリーマン鏡,203,730,-987,1,0,1/730.0,1/730.0,1/0.0
2023-01-11,HEY！エリートサラリーマン鏡,205,1177,+1110,8,4,1/98.1,1/147.1,1/294.2
2023-01-11,HEY！エリートサラリーマン鏡,206,780,+132,6,2,1/97.5,1/130.0,1/390.0
2023-01-11,HEY！エリートサラリーマン鏡,平均,896,+85,5,2,1/128.0,1/179.1,1/447.8
2023-01-11,アイムジャグラーEX,127,2135,+326,7,12,1/112.4,1/305.0,1/177.9
2023-01-11,アイムジャグラーEX,128,162,-236,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,アイムジャグラーEX,130,1617,-1301,2,2,1/404.2,1/808.5,1/808.5
2023-01-11,アイムジャグラーEX,平均,1305,-404,3,5,1/170.2,1/434.9,1/279.6
2023-01-11,バキ 強くなりたくば喰らえ!!!,188,268,-39,5,1,1/44.7,1/53.6,1/268.0
2023-01-11,バキ 強くなりたくば喰らえ!!!,200,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,バキ 強くなりたくば喰らえ!!!,201,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-01-11,バキ 強くなりたくば喰らえ!!!,平均,89,-13,2,0,1/44.7,1/53.6,1/268.0
2023-01-11,バジリスク絆2,112,157,+346,2,4,1/26.2,1/78.5,1/39.2
2023-01-11,バジリスク絆2,113,1,-10,0,0,1/0.0,1/0.0,1/0.0
