日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-02-07,アイムジャグラーEX,118,5797,+1362,23,19,1/138.0,1/252.0,1/305.1
2023-02-07,アイムジャグラーEX,120,186,+5,1,0,1/186.0,1/186.0,1/0.0
2023-02-07,アイムジャグラーEX,121,2582,-1065,5,8,1/198.6,1/516.4,1/322.8
2023-02-07,アイムジャグラーEX,122,1004,-581,1,3,1/251.0,1/1004.0,1/334.7
2023-02-07,アイムジャグラーEX,123,735,-196,2,2,1/183.8,1/367.5,1/367.5
2023-02-07,アイムジャグラーEX,125,3480,-106,14,4,1/193.3,1/248.6,1/870.0
2023-02-07,アイムジャグラーEX,平均,2297,-97,8,6,1/168.1,1/299.7,1/382.9
2023-02-07,ディスクアップ2,60,1624,+52,5,1,1/270.7,1/324.8,1/1624.0
2023-02-07,ディスクアップ2,61,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ディスクアップ2,62,6918,+1784,23,15,1/182.1,1/300.8,1/461.2
2023-02-07,ディスクアップ2,平均,2847,+612,9,5,1/194.1,1/305.1,1/533.9
2023-02-07,ハッピージャグラーVIII,130,565,-16,3,0,1/188.3,1/188.3,1/0.0
2023-02-07,ハッピージャグラーVIII,131,5335,+480,19,21,1/133.4,1/280.8,1/254.0
2023-02-07,ハッピージャグラーVIII,132,2452,-50,9,6,1/163.5,1/272.4,1/408.7
2023-02-07,ハッピージャグラーVIII,平均,2784,+138,10,9,1/144.0,1/269.4,1/309.3
2023-02-07,マイジャグラーV,126,3902,+747,18,8,1/150.1,1/216.8,1/487.8
2023-02-07,マイジャグラーV,127,633,-788,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,マイジャグラーV,128,3080,+533,12,9,1/146.7,1/256.7,1/342.2
2023-02-07,マイジャグラーV,平均,2538,+164,10,6,1/162.0,1/253.8,1/447.9
2023-02-07,ひぐらしのなく頃に祭2,21,84,-140,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ひぐらしのなく頃に祭2,22,834,-276,1,2,1/278.0,1/834.0,1/417.0
2023-02-07,ひぐらしのなく頃に祭2,平均,459,-208,0,1,1/306.0,1/918.0,1/459.0
2023-02-07,アラジンAクラシック,63,1871,-1709,9,0,1/207.9,1/207.9,1/0.0
2023-02-07,アラジンAクラシック,65,153,-301,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,アラジンAクラシック,平均,1012,-1005,4,0,1/224.9,1/224.9,1/0.0
2023-02-07,チバリヨ‐25,66,276,-432,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,チバリヨ‐25,67,1332,-600,4,1,1/266.4,1/333.0,1/1332.0
2023-02-07,チバリヨ‐25,平均,804,-516,2,0,1/321.6,1/402.0,1/1608.0
2023-02-07,ニューパルサーDX3,113,794,-332,1,3,1/198.5,1/794.0,1/264.7
2023-02-07,ニューパルサーDX3,115,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ニューパルサーDX3,平均,397,-166,0,2,1/198.5,1/794.0,1/264.7
2023-02-07,ニューパルサーSPⅢ,133,101,-151,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ニューパルサーSPⅢ,135,458,-294,1,0,1/458.0,1/458.0,1/0.0
2023-02-07,ニューパルサーSPⅢ,平均,280,-222,0,0,1/559.0,1/559.0,1/0.0
2023-02-07,ハードボイルド,18,4583,-45,10,15,1/183.3,1/458.3,1/305.5
2023-02-07,ハードボイルド,20,507,-735,0,1,1/507.0,1/0.0,1/507.0
2023-02-07,ハードボイルド,平均,2545,-390,5,8,1/195.8,1/509.0,1/318.1
2023-02-07,リノヘブン,701,110,+149,1,0,1/110.0,1/110.0,1/0.0
2023-02-07,リノヘブン,703,234,-240,0,1,1/234.0,1/0.0,1/234.0
2023-02-07,リノヘブン,平均,172,-46,0,0,1/172.0,1/344.0,1/344.0
2023-02-07,主役は銭形3,13,1607,-1088,2,4,1/267.8,1/803.5,1/401.8
2023-02-07,主役は銭形3,15,1398,0,4,4,1/174.8,1/349.5,1/349.5
2023-02-07,主役は銭形3,平均,1502,-544,3,4,1/214.6,1/500.8,1/375.6
2023-02-07,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,718,76,-92,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,720,843,-176,9,9,1/46.8,1/93.7,1/93.7
2023-02-07,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,平均,460,-134,4,4,1/51.1,1/102.1,1/102.1
2023-02-07,新ハナビ,136,813,-490,1,1,1/406.5,1/813.0,1/813.0
2023-02-07,新ハナビ,137,4696,-1048,11,15,1/180.6,1/426.9,1/313.1
2023-02-07,新ハナビ,平均,2754,-769,6,8,1/196.8,1/459.1,1/344.3
2023-02-07,甲鉄城のカバネリ,16,1938,-216,11,5,1/121.1,1/176.2,1/387.6
2023-02-07,甲鉄城のカバネリ,17,3194,-150,21,8,1/110.1,1/152.1,1/399.2
2023-02-07,甲鉄城のカバネリ,平均,2566,-183,16,6,1/114.0,1/160.4,1/394.8
2023-02-07,花火絶景,108,717,-274,1,0,1/717.0,1/717.0,1/0.0
2023-02-07,花火絶景,110,302,-380,0,1,1/302.0,1/0.0,1/302.0
2023-02-07,花火絶景,平均,510,-327,0,0,1/509.5,1/1019.0,1/1019.0
2023-02-07,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,閉鎖,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,闘魂継承 アントニオ猪木という名のパチスロ機,1,59,-74,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,モンスターハンター:ワールドTM 黄金狩猟,2,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,新鬼武者～DAWN OF DREAMS～,3,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,北斗の拳 宿命,5,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,鉄拳4アルティメットデビルVer.,6,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,GANTZ極 THE SURVIVAL GAME,7,10,-23,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,花の慶次～武威～,8,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ラブ嬢2,10,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,キャッツアイ,11,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,バジリスク絆2,12,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ボンバーパワフルIII,23,746,-551,0,2,1/373.0,1/0.0,1/373.0
2023-02-07,政宗 戦極,25,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,黄門ちゃまV女神盛‐MEGAMORI‐,26,243,+40,2,1,1/81.0,1/121.5,1/243.0
2023-02-07,とある科学の超電磁砲,27,223,-169,0,1,1/223.0,1/0.0,1/223.0
2023-02-07,サラリーマン金太郎～MAX～,28,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,BOOWY,30,39,-84,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ノーゲーム・ノーライフ,31,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,新鬼武者2,32,557,-33,3,1,1/139.2,1/185.7,1/557.0
2023-02-07,交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,33,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,犬夜叉,35,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,コードギアス反逆のルルーシュ3,36,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,押忍!番長ZERO,37,1732,-779,11,2,1/133.2,1/157.5,1/866.0
2023-02-07,天元突破グレンラガン,38,195,+170,1,2,1/65.0,1/195.0,1/97.5
2023-02-07,スーパーリオエース,50,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ブラックラグーン4,51,8,-17,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,バイオハザード RE:2,52,2678,+466,18,18,1/74.4,1/148.8,1/148.8
2023-02-07,ガンダム クロスオーバー,53,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,幼女戦記,55,63,-85,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,笑ゥせぇるすまん絶笑,56,441,-216,2,1,1/147.0,1/220.5,1/441.0
2023-02-07,デビル メイ クライ 5,57,120,-149,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,実況BINGO倶楽部,58,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,HEY!鏡,68,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,押忍!サラリーマン番長2,70,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-07,ゴッドイーター ジ・アニメーション,71,0,0,0,0,1/0.0,1/0.0,1/0.0
