日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-19,アイムジャグラーEX-TP,561,2406,+200,10,5,1/160.4,1/240.6,1/481.2
2023-11-19,アイムジャグラーEX-TP,562,7628,+1300,29,31,1/127.1,1/263.0,1/246.1
2023-11-19,アイムジャグラーEX-TP,563,4178,-700,13,10,1/181.7,1/321.4,1/417.8
2023-11-19,アイムジャグラーEX-TP,564,3519,-400,13,6,1/185.2,1/270.7,1/586.5
2023-11-19,アイムジャグラーEX-TP,565,6671,+1900,29,28,1/117.0,1/230.0,1/238.2
2023-11-19,アイムジャグラーEX-TP,566,3576,-900,11,7,1/198.7,1/325.1,1/510.9
2023-11-19,アイムジャグラーEX-TP,567,6540,+900,28,19,1/139.1,1/233.6,1/344.2
2023-11-19,アイムジャグラーEX-TP,568,4030,-200,15,10,1/161.2,1/268.7,1/403.0
2023-11-19,アイムジャグラーEX-TP,569,5659,+2400,30,17,1/120.4,1/188.6,1/332.9
2023-11-19,アイムジャグラーEX-TP,570,3361,-1000,10,9,1/176.9,1/336.1,1/373.4
2023-11-19,アイムジャグラーEX-TP,571,4904,0,17,15,1/153.2,1/288.5,1/326.9
2023-11-19,アイムジャグラーEX-TP,572,3630,-1100,10,9,1/191.1,1/363.0,1/403.3
2023-11-19,アイムジャグラーEX-TP,621,2721,-100,11,6,1/160.1,1/247.4,1/453.5
2023-11-19,アイムジャグラーEX-TP,622,9207,+100,32,34,1/139.5,1/287.7,1/270.8
2023-11-19,アイムジャグラーEX-TP,623,5307,-900,13,21,1/156.1,1/408.2,1/252.7
2023-11-19,アイムジャグラーEX-TP,624,6778,+2600,31,30,1/111.1,1/218.6,1/225.9
2023-11-19,アイムジャグラーEX-TP,625,1650,-1000,3,4,1/235.7,1/550.0,1/412.5
2023-11-19,アイムジャグラーEX-TP,626,3782,-1300,8,10,1/210.1,1/472.8,1/378.2
2023-11-19,アイムジャグラーEX-TP,627,5096,-1300,15,13,1/182.0,1/339.7,1/392.0
2023-11-19,アイムジャグラーEX-TP,628,573,-700,0,0,1/0.0,1/0.0,1/0.0
2023-11-19,アイムジャグラーEX-TP,629,5091,0,14,22,1/141.4,1/363.6,1/231.4
2023-11-19,アイムジャグラーEX-TP,630,1519,-700,2,5,1/217.0,1/759.5,1/303.8
2023-11-19,アイムジャグラーEX-TP,631,7008,+100,26,20,1/152.3,1/269.5,1/350.4
2023-11-19,アイムジャグラーEX-TP,632,2502,-2100,1,5,1/417.0,1/2502.0,1/500.4
2023-11-19,アイムジャグラーEX-TP,633,4673,+200,19,7,1/179.7,1/245.9,1/667.6
2023-11-19,アイムジャグラーEX-TP,634,7476,+500,26,32,1/128.9,1/287.5,1/233.6
2023-11-19,アイムジャグラーEX-TP,635,4674,-100,14,18,1/146.1,1/333.9,1/259.7
2023-11-19,アイムジャグラーEX-TP,636,4840,+100,19,9,1/172.9,1/254.7,1/537.8
2023-11-19,アイムジャグラーEX-TP,637,2886,0,11,8,1/151.9,1/262.4,1/360.8
2023-11-19,アイムジャグラーEX-TP,638,5611,+200,23,14,1/151.6,1/244.0,1/400.8
2023-11-19,アイムジャグラーEX-TP,639,4458,+600,22,9,1/143.8,1/202.6,1/495.3
2023-11-19,アイムジャグラーEX-TP,640,2710,-200,9,5,1/193.6,1/301.1,1/542.0
2023-11-19,アイムジャグラーEX-TP,641,2264,-200,8,6,1/161.7,1/283.0,1/377.3
2023-11-19,マイジャグラーV,490,9022,+900,35,33,1/132.7,1/257.8,1/273.4
2023-11-19,マイジャグラーV,491,5904,-100,20,21,1/144.0,1/295.2,1/281.1
2023-11-19,マイジャグラーV,492,7320,+300,26,25,1/143.5,1/281.5,1/292.8
2023-11-19,マイジャグラーV,493,2127,-800,5,4,1/236.3,1/425.4,1/531.8
2023-11-19,マイジャグラーV,494,6397,+200,24,18,1/152.3,1/266.5,1/355.4
2023-11-19,マイジャグラーV,495,4749,+400,21,9,1/158.3,1/226.1,1/527.7
2023-11-19,マイジャグラーV,496,1576,0,6,2,1/197.0,1/262.7,1/788.0
2023-11-19,マイジャグラーV,497,6942,+800,29,18,1/147.7,1/239.4,1/385.7
2023-11-19,マイジャグラーV,498,2911,-800,9,6,1/194.1,1/323.4,1/485.2
2023-11-19,マイジャグラーV,499,6959,+1100,30,18,1/145.0,1/232.0,1/386.6
2023-11-19,マイジャグラーV,500,4994,-500,19,6,1/199.8,1/262.8,1/832.3
2023-11-19,マイジャグラーV,541,5848,-600,22,14,1/162.4,1/265.8,1/417.7
2023-11-19,マイジャグラーV,542,6150,0,22,22,1/139.8,1/279.5,1/279.5
2023-11-19,マイジャグラーV,543,3191,-400,11,7,1/177.3,1/290.1,1/455.9
2023-11-19,マイジャグラーV,544,3614,-700,12,5,1/212.6,1/301.2,1/722.8
2023-11-19,マイジャグラーV,545,2270,-500,7,5,1/189.2,1/324.3,1/454.0
2023-11-19,マイジャグラーV,546,7824,+1600,31,29,1/130.4,1/252.4,1/269.8
2023-11-19,マイジャグラーV,547,1720,-1000,3,4,1/245.7,1/573.3,1/430.0
2023-11-19,マイジャグラーV,548,5375,-1300,16,11,1/199.1,1/335.9,1/488.6
2023-11-19,マイジャグラーV,549,5128,+200,20,14,1/150.8,1/256.4,1/366.3
2023-11-19,マイジャグラーV,550,3056,-1700,6,4,1/305.6,1/509.3,1/764.0
2023-11-19,マイジャグラーV,551,3036,-1300,8,4,1/253.0,1/379.5,1/759.0
2023-11-19,ファンキージャグラー2,481,7922,+1200,33,30,1/125.7,1/240.1,1/264.1
2023-11-19,ファンキージャグラー2,482,5441,-600,17,21,1/143.2,1/320.1,1/259.1
2023-11-19,ファンキージャグラー2,483,1181,-700,2,2,1/295.2,1/590.5,1/590.5
2023-11-19,ファンキージャグラー2,484,1705,-600,5,3,1/213.1,1/341.0,1/568.3
2023-11-19,ファンキージャグラー2,485,3725,+1000,19,9,1/133.0,1/196.1,1/413.9
2023-11-19,ファンキージャグラー2,486,2720,-900,8,5,1/209.2,1/340.0,1/544.0
2023-11-19,ファンキージャグラー2,487,2226,-100,8,6,1/159.0,1/278.2,1/371.0
2023-11-19,ファンキージャグラー2,488,4214,+800,20,8,1/150.5,1/210.7,1/526.8
2023-11-19,ファンキージャグラー2,489,708,-200,2,2,1/177.0,1/354.0,1/354.0
2023-11-19,ファンキージャグラー2,552,2748,-1000,7,7,1/196.3,1/392.6,1/392.6
2023-11-19,ファンキージャグラー2,553,6718,+1600,32,21,1/126.8,1/209.9,1/319.9
2023-11-19,ファンキージャグラー2,554,3252,-300,12,8,1/162.6,1/271.0,1/406.5
2023-11-19,ファンキージャグラー2,555,2485,-600,8,4,1/207.1,1/310.6,1/621.2
2023-11-19,ファンキージャグラー2,556,3604,-100,12,14,1/138.6,1/300.3,1/257.4
2023-11-19,ファンキージャグラー2,557,1415,-100,6,2,1/176.9,1/235.8,1/707.5
2023-11-19,ファンキージャグラー2,558,2535,+100,10,5,1/169.0,1/253.5,1/507.0
2023-11-19,ファンキージャグラー2,559,1388,-400,3,4,1/198.3,1/462.7,1/347.0
2023-11-19,ファンキージャグラー2,560,6355,-500,24,15,1/162.9,1/264.8,1/423.7
2023-11-19,スマスロ北斗の拳,334,4848,+400,56,12,1/71.3,1/86.6,1/404.0
2023-11-19,スマスロ北斗の拳,335,4228,-2300,23,13,1/117.4,1/183.8,1/325.2
2023-11-19,スマスロ北斗の拳,336,2832,+2100,50,8,1/48.8,1/56.6,1/354.0
