日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-16,閉鎖,680,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,682,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,685,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,687,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,707,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,717,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,閉鎖,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,アイムジャグラーEX-TP,121,2717,-26,8,10,1/150.9,1/339.6,1/271.7
2023-11-16,アイムジャグラーEX-TP,122,543,-315,1,0,1/543.0,1/543.0,1/0.0
2023-11-16,アイムジャグラーEX-TP,123,1267,-750,1,5,1/211.2,1/1267.0,1/253.4
2023-11-16,アイムジャグラーEX-TP,125,1858,+957,10,5,1/123.9,1/185.8,1/371.6
2023-11-16,スマスロ北斗の拳,688,1317,+167,13,2,1/87.8,1/101.3,1/658.5
2023-11-16,スマスロ北斗の拳,701,2021,-914,11,4,1/134.7,1/183.7,1/505.2
2023-11-16,スマスロ北斗の拳,703,1176,-232,8,2,1/117.6,1/147.0,1/588.0
2023-11-16,ディスクアップ2,60,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ディスクアップ2,61,8095,+465,26,20,1/176.0,1/311.3,1/404.8
2023-11-16,ディスクアップ2,62,1786,+89,4,8,1/148.8,1/446.5,1/223.2
2023-11-16,ハッピージャグラーVIII,130,2081,+92,7,7,1/148.6,1/297.3,1/297.3
2023-11-16,ハッピージャグラーVIII,131,1083,-59,2,6,1/135.4,1/541.5,1/180.5
2023-11-16,ハッピージャグラーVIII,132,559,-483,1,1,1/279.5,1/559.0,1/559.0
2023-11-16,バイオハザード:ヴェンデッタ,713,313,+196,5,1,1/52.2,1/62.6,1/313.0
2023-11-16,バイオハザード:ヴェンデッタ,716,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,バイオハザード:ヴェンデッタ,718,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,マイジャグラーV,126,2786,+960,13,10,1/121.1,1/214.3,1/278.6
2023-11-16,マイジャグラーV,127,2602,-285,7,8,1/173.5,1/371.7,1/325.2
2023-11-16,マイジャグラーV,128,1974,-545,5,5,1/197.4,1/394.8,1/394.8
2023-11-16,甲鉄城のカバネリ,15,3971,+1176,34,8,1/94.5,1/116.8,1/496.4
2023-11-16,甲鉄城のカバネリ,16,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,甲鉄城のカバネリ,17,2749,+3229,35,5,1/68.7,1/78.5,1/549.8
2023-11-16,HEY！エリートサラリーマン鏡,677,1562,+602,10,4,1/111.6,1/156.2,1/390.5
2023-11-16,HEY！エリートサラリーマン鏡,678,17,-22,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ひぐらしのなく頃に祭2,22,413,-550,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ゴーゴージャグラー3,118,1863,-239,6,4,1/186.3,1/310.5,1/465.8
2023-11-16,ゴーゴージャグラー3,120,645,-240,2,1,1/215.0,1/322.5,1/645.0
2023-11-16,ニューゲッターマウス,108,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ニューゲッターマウス,110,86,+156,1,0,1/86.0,1/86.0,1/0.0
2023-11-16,ニューパルサーDX3,113,146,-213,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ニューパルサーDX3,115,1679,+374,7,5,1/139.9,1/239.9,1/335.8
2023-11-16,ニューパルサーSPⅢ,133,182,-220,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ニューパルサーSPⅢ,135,226,+41,1,0,1/226.0,1/226.0,1/0.0
2023-11-16,ハードボイルド,18,3349,-459,8,5,1/257.6,1/418.6,1/669.8
2023-11-16,ハードボイルド,20,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,バーサスリヴァイズ,151,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,バーサスリヴァイズ,152,59,-44,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,押忍!番長ZERO,66,2037,-1255,9,2,1/185.2,1/226.3,1/1018.5
2023-11-16,押忍!番長ZERO,67,1147,-1317,3,0,1/382.3,1/382.3,1/0.0
2023-11-16,新ハナビ,136,1308,-377,3,3,1/218.0,1/436.0,1/436.0
2023-11-16,新ハナビ,137,435,-270,1,0,1/435.0,1/435.0,1/0.0
2023-11-16,沖ドキ!DUO,63,137,-149,0,1,1/137.0,1/0.0,1/137.0
2023-11-16,沖ドキ!DUO,65,74,-120,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,闘魂継承 アントニオ猪木という名のパチスロ機,1,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,モンスターハンター:ワールドTM 黄金狩猟,2,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,新鬼武者～DAWN OF DREAMS～,3,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,主役は銭形3,5,752,-497,1,1,1/376.0,1/752.0,1/752.0
2023-11-16,鉄拳4アルティメットデビルVer.,6,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,リングにかけろ ワールドチャンピオンカーニバル編,7,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,花の慶次～武威～,8,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,ラブ嬢2,10,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,キャッツアイ,11,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-16,バジリスク絆2,12,236,-184,2,0,1/118.0,1/118.0,1/0.0
