日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-03,アイムジャグラーEX-TP,559,2148,-1400,2,6,1/268.5,1/1074.0,1/358.0
2023-11-03,アイムジャグラーEX-TP,560,4778,+400,21,10,1/154.1,1/227.5,1/477.8
2023-11-03,アイムジャグラーEX-TP,561,3479,-1400,7,11,1/193.3,1/497.0,1/316.3
2023-11-03,アイムジャグラーEX-TP,562,2800,-1000,6,7,1/215.4,1/466.7,1/400.0
2023-11-03,アイムジャグラーEX-TP,563,1618,-500,5,2,1/231.1,1/323.6,1/809.0
2023-11-03,アイムジャグラーEX-TP,564,4070,+700,18,14,1/127.2,1/226.1,1/290.7
2023-11-03,アイムジャグラーEX-TP,565,4695,+1400,19,23,1/111.8,1/247.1,1/204.1
2023-11-03,アイムジャグラーEX-TP,566,3163,-200,11,8,1/166.5,1/287.5,1/395.4
2023-11-03,アイムジャグラーEX-TP,567,5691,+1500,27,16,1/132.3,1/210.8,1/355.7
2023-11-03,アイムジャグラーEX-TP,568,1785,-400,6,2,1/223.1,1/297.5,1/892.5
2023-11-03,アイムジャグラーEX-TP,569,7418,+3300,36,28,1/115.9,1/206.1,1/264.9
2023-11-03,アイムジャグラーEX-TP,570,7540,+2100,35,28,1/119.7,1/215.4,1/269.3
2023-11-03,アイムジャグラーEX-TP,571,1407,-900,2,4,1/234.5,1/703.5,1/351.8
2023-11-03,アイムジャグラーEX-TP,572,3106,-100,11,8,1/163.5,1/282.4,1/388.2
2023-11-03,アイムジャグラーEX-TP,621,4871,0,19,11,1/162.4,1/256.4,1/442.8
2023-11-03,アイムジャグラーEX-TP,622,4567,+1700,24,11,1/130.5,1/190.3,1/415.2
2023-11-03,アイムジャグラーEX-TP,623,4351,+400,20,8,1/155.4,1/217.6,1/543.9
2023-11-03,アイムジャグラーEX-TP,624,4736,+100,17,15,1/148.0,1/278.6,1/315.7
2023-11-03,アイムジャグラーEX-TP,625,1395,-400,4,2,1/232.5,1/348.8,1/697.5
2023-11-03,アイムジャグラーEX-TP,626,3202,-600,11,7,1/177.9,1/291.1,1/457.4
2023-11-03,アイムジャグラーEX-TP,627,5607,+1000,23,19,1/133.5,1/243.8,1/295.1
2023-11-03,アイムジャグラーEX-TP,628,2637,-1200,7,6,1/202.8,1/376.7,1/439.5
2023-11-03,アイムジャグラーEX-TP,629,2581,-400,8,8,1/161.3,1/322.6,1/322.6
2023-11-03,アイムジャグラーEX-TP,630,7549,+1800,32,26,1/130.2,1/235.9,1/290.3
2023-11-03,アイムジャグラーEX-TP,631,1748,-800,4,4,1/218.5,1/437.0,1/437.0
2023-11-03,アイムジャグラーEX-TP,632,5048,-900,18,7,1/201.9,1/280.4,1/721.1
2023-11-03,アイムジャグラーEX-TP,633,6637,+800,28,19,1/141.2,1/237.0,1/349.3
2023-11-03,アイムジャグラーEX-TP,634,6537,+1900,32,20,1/125.7,1/204.3,1/326.9
2023-11-03,アイムジャグラーEX-TP,635,5902,-800,15,25,1/147.6,1/393.5,1/236.1
2023-11-03,アイムジャグラーEX-TP,636,1785,-400,6,4,1/178.5,1/297.5,1/446.2
2023-11-03,アイムジャグラーEX-TP,637,4094,-300,17,4,1/195.0,1/240.8,1/1023.5
2023-11-03,アイムジャグラーEX-TP,638,3997,-700,12,11,1/173.8,1/333.1,1/363.4
2023-11-03,アイムジャグラーEX-TP,639,865,-400,2,1,1/288.3,1/432.5,1/865.0
2023-11-03,アイムジャグラーEX-TP,640,5792,+900,28,9,1/156.5,1/206.9,1/643.6
2023-11-03,アイムジャグラーEX-TP,641,7399,+1400,31,24,1/134.5,1/238.7,1/308.3
2023-11-03,マイジャグラーV,497,1532,-600,3,3,1/255.3,1/510.7,1/510.7
2023-11-03,マイジャグラーV,498,8470,+2600,44,19,1/134.4,1/192.5,1/445.8
2023-11-03,マイジャグラーV,499,6536,+200,26,18,1/148.5,1/251.4,1/363.1
2023-11-03,マイジャグラーV,500,5304,+400,24,8,1/165.8,1/221.0,1/663.0
2023-11-03,マイジャグラーV,541,5243,-2400,11,12,1/228.0,1/476.6,1/436.9
2023-11-03,マイジャグラーV,542,7267,+200,30,14,1/165.2,1/242.2,1/519.1
2023-11-03,マイジャグラーV,543,5628,-1400,13,21,1/165.5,1/432.9,1/268.0
2023-11-03,マイジャグラーV,544,6747,-600,24,15,1/173.0,1/281.1,1/449.8
2023-11-03,マイジャグラーV,545,5942,+2300,30,18,1/123.8,1/198.1,1/330.1
2023-11-03,マイジャグラーV,546,5852,+700,25,18,1/136.1,1/234.1,1/325.1
2023-11-03,マイジャグラーV,547,8162,+1000,34,28,1/131.6,1/240.1,1/291.5
2023-11-03,マイジャグラーV,548,1882,-800,4,4,1/235.2,1/470.5,1/470.5
2023-11-03,マイジャグラーV,549,3945,-500,14,9,1/171.5,1/281.8,1/438.3
2023-11-03,マイジャグラーV,550,7572,+1500,32,24,1/135.2,1/236.6,1/315.5
2023-11-03,マイジャグラーV,551,5882,+2100,33,13,1/127.9,1/178.2,1/452.5
2023-11-03,マイジャグラーV,552,6828,+200,27,19,1/148.4,1/252.9,1/359.4
2023-11-03,マイジャグラーV,553,3269,-1300,7,9,1/204.3,1/467.0,1/363.2
2023-11-03,マイジャグラーV,554,1187,-800,2,1,1/395.7,1/593.5,1/1187.0
2023-11-03,マイジャグラーV,555,8383,-1200,25,28,1/158.2,1/335.3,1/299.4
2023-11-03,マイジャグラーV,556,4304,-400,13,14,1/159.4,1/331.1,1/307.4
2023-11-03,マイジャグラーV,557,3052,-600,11,5,1/190.8,1/277.5,1/610.4
2023-11-03,マイジャグラーV,558,3421,-1000,10,9,1/180.1,1/342.1,1/380.1
2023-11-03,ファンキージャグラー2,481,6698,+3100,38,18,1/119.6,1/176.3,1/372.1
2023-11-03,ファンキージャグラー2,482,610,-400,1,0,1/610.0,1/610.0,1/0.0
2023-11-03,ファンキージャグラー2,483,5315,+500,20,20,1/132.9,1/265.8,1/265.8
2023-11-03,ファンキージャグラー2,484,612,-200,2,2,1/153.0,1/306.0,1/306.0
2023-11-03,ファンキージャグラー2,485,3055,-1500,6,8,1/218.2,1/509.2,1/381.9
2023-11-03,ファンキージャグラー2,486,881,+400,5,2,1/125.9,1/176.2,1/440.5
2023-11-03,ファンキージャグラー2,487,1703,-200,4,7,1/154.8,1/425.8,1/243.3
2023-11-03,ファンキージャグラー2,488,535,-200,0,3,1/178.3,1/0.0,1/178.3
2023-11-03,ファンキージャグラー2,489,7611,+2200,41,13,1/140.9,1/185.6,1/585.5
2023-11-03,ファンキージャグラー2,490,2091,+300,8,8,1/130.7,1/261.4,1/261.4
2023-11-03,ファンキージャグラー2,491,4668,+800,19,16,1/133.4,1/245.7,1/291.8
2023-11-03,ファンキージャグラー2,492,123,-100,0,0,1/0.0,1/0.0,1/0.0
2023-11-03,ファンキージャグラー2,493,4965,+900,21,18,1/127.3,1/236.4,1/275.8
2023-11-03,ファンキージャグラー2,494,673,-400,2,0,1/336.5,1/336.5,1/0.0
2023-11-03,ファンキージャグラー2,495,6196,+1200,28,16,1/140.8,1/221.3,1/387.2
2023-11-03,ファンキージャグラー2,496,5990,+500,22,23,1/133.1,1/272.3,1/260.4
2023-11-03,スマスロ北斗の拳,334,3901,-1000,37,8,1/86.7,1/105.4,1/487.6
2023-11-03,スマスロ北斗の拳,335,2772,-700,28,4,1/86.6,1/99.0,1/693.0
2023-11-03,スマスロ北斗の拳,336,6444,+1100,79,14,1/69.3,1/81.6,1/460.3
2023-11-03,スマスロ北斗の拳,337,4304,-2200,31,10,1/105.0,1/138.8,1/430.4
2023-11-03,スマスロ北斗の拳,338,2922,+2700,52,7,1/49.5,1/56.2,1/417.4
2023-11-03,スマスロ北斗の拳,339,5047,+4400,85,20,1/48.1,1/59.4,1/252.3
2023-11-03,スマスロ北斗の拳,340,4439,-2100,36,9,1/98.6,1/123.3,1/493.2
2023-11-03,スマスロ北斗の拳,381,4497,+3900,77,14,1/49.4,1/58.4,1/321.2
2023-11-03,スマスロ北斗の拳,382,4877,-2600,32,11,1/113.4,1/152.4,1/443.4
2023-11-03,スマスロ北斗の拳,383,3854,-400,40,8,1/80.3,1/96.3,1/481.8
2023-11-03,スマスロ北斗の拳,384,3364,+5700,75,7,1/41.0,1/44.9,1/480.6
2023-11-03,スマスロ北斗の拳,385,545,0,5,1,1/90.8,1/109.0,1/545.0
2023-11-03,スマスロ北斗の拳,386,2333,+900,35,7,1/55.5,1/66.7,1/333.3
2023-11-03,スマスロ北斗の拳,387,1107,-300,12,1,1/85.2,1/92.2,1/1107.0
2023-11-03,スマスロ北斗の拳,388,3124,-2700,15,6,1/148.8,1/208.3,1/520.7
2023-11-03,革命機ヴァルヴレイヴ,501,1066,0,4,0,1/266.5,1/266.5,1/0.0
2023-11-03,革命機ヴァルヴレイヴ,502,1532,-1300,2,3,1/306.4,1/766.0,1/510.7
2023-11-03,革命機ヴァルヴレイヴ,503,752,+2400,31,2,1/22.8,1/24.3,1/376.0
2023-11-03,革命機ヴァルヴレイヴ,504,5863,+5400,69,3,1/81.4,1/85.0,1/1954.3
2023-11-03,革命機ヴァルヴレイヴ,505,1449,-500,7,1,1/181.1,1/207.0,1/1449.0
2023-11-03,革命機ヴァルヴレイヴ,506,1404,+100,8,1,1/156.0,1/175.5,1/1404.0
2023-11-03,革命機ヴァルヴレイヴ,507,2805,+1900,43,5,1/58.4,1/65.2,1/561.0
2023-11-03,革命機ヴァルヴレイヴ,508,1215,-400,4,2,1/202.5,1/303.8,1/607.5
2023-11-03,革命機ヴァルヴレイヴ,509,1286,-1000,2,2,1/321.5,1/643.0,1/643.0
2023-11-03,革命機ヴァルヴレイヴ,510,2353,+100,14,4,1/130.7,1/168.1,1/588.2
2023-11-03,革命機ヴァルヴレイヴ,511,3258,-1700,16,1,1/191.6,1/203.6,1/3258.0
2023-11-03,革命機ヴァルヴレイヴ,512,1810,-2400,0,1,1/1810.0,1/0.0,1/1810.0
2023-11-03,革命機ヴァルヴレイヴ,513,6539,-3500,25,4,1/225.5,1/261.6,1/1634.8
2023-11-03,革命機ヴァルヴレイヴ,514,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-03,ゴーゴージャグラー3,573,8131,+700,36,21,1/142.6,1/225.9,1/387.2
2023-11-03,ゴーゴージャグラー3,574,1571,+500,8,5,1/120.8,1/196.4,1/314.2
2023-11-03,ゴーゴージャグラー3,575,2135,-500,6,6,1/177.9,1/355.8,1/355.8
2023-11-03,ゴーゴージャグラー3,576,4611,-500,16,15,1/148.7,1/288.2,1/307.4
2023-11-03,ゴーゴージャグラー3,577,3150,-100,13,8,1/150.0,1/242.3,1/393.8
2023-11-03,ゴーゴージャグラー3,578,3563,-700,11,10,1/169.7,1/323.9,1/356.3
2023-11-03,ゴーゴージャグラー3,615,2918,+200,14,2,1/182.4,1/208.4,1/1459.0
2023-11-03,ゴーゴージャグラー3,616,4339,-1100,12,14,1/166.9,1/361.6,1/309.9
2023-11-03,ゴーゴージャグラー3,617,4452,-600,15,14,1/153.5,1/296.8,1/318.0
2023-11-03,ゴーゴージャグラー3,618,2054,-400,8,3,1/186.7,1/256.8,1/684.7
2023-11-03,ゴーゴージャグラー3,619,1243,-1000,1,3,1/310.8,1/1243.0,1/414.3
2023-11-03,ゴーゴージャグラー3,620,4565,-100,19,14,1/138.3,1/240.3,1/326.1
2023-11-03,押忍!番長ZERO,579,2083,-1200,15,3,1/115.7,1/138.9,1/694.3
2023-11-03,押忍!番長ZERO,580,467,-100,4,1,1/93.4,1/116.8,1/467.0
2023-11-03,押忍!番長ZERO,581,3557,-1200,25,5,1/118.6,1/142.3,1/711.4
2023-11-03,押忍!番長ZERO,582,2019,+500,26,5,1/65.1,1/77.7,1/403.8
2023-11-03,押忍!番長ZERO,583,1038,-700,7,1,1/129.8,1/148.3,1/1038.0
2023-11-03,押忍!番長ZERO,584,378,-300,3,1,1/94.5,1/126.0,1/378.0
2023-11-03,押忍!番長ZERO,609,3045,+2400,58,10,1/44.8,1/52.5,1/304.5
2023-11-03,押忍!番長ZERO,610,3550,+400,46,8,1/65.7,1/77.2,1/443.8
2023-11-03,押忍!番長ZERO,611,2168,-600,24,4,1/77.4,1/90.3,1/542.0
2023-11-03,押忍!番長ZERO,612,1447,-800,10,3,1/111.3,1/144.7,1/482.3
2023-11-03,押忍!番長ZERO,613,717,-700,1,0,1/717.0,1/717.0,1/0.0
2023-11-03,押忍!番長ZERO,614,2843,+800,35,4,1/72.9,1/81.2,1/710.8
2023-11-03,甲鉄城のカバネリ,416,1335,+1400,24,6,1/44.5,1/55.6,1/222.5
2023-11-03,甲鉄城のカバネリ,417,992,-600,5,4,1/110.2,1/198.4,1/248.0
2023-11-03,甲鉄城のカバネリ,418,532,-300,3,1,1/133.0,1/177.3,1/532.0
2023-11-03,甲鉄城のカバネリ,419,4340,+4000,67,27,1/46.2,1/64.8,1/160.7
2023-11-03,甲鉄城のカバネリ,420,880,0,8,4,1/73.3,1/110.0,1/220.0
2023-11-03,甲鉄城のカバネリ,461,3087,-500,28,19,1/65.7,1/110.2,1/162.5
2023-11-03,甲鉄城のカバネリ,462,1535,-600,11,6,1/90.3,1/139.5,1/255.8
2023-11-03,甲鉄城のカバネリ,463,2319,+2500,42,11,1/43.8,1/55.2,1/210.8
2023-11-03,甲鉄城のカバネリ,464,840,0,8,5,1/64.6,1/105.0,1/168.0
2023-11-03,甲鉄城のカバネリ,465,2750,-1700,19,7,1/105.8,1/144.7,1/392.9
2023-11-03,ハッピージャグラーVIII,642,2172,-1100,6,2,1/271.5,1/362.0,1/1086.0
2023-11-03,ハッピージャグラーVIII,643,2545,-700,7,7,1/181.8,1/363.6,1/363.6
2023-11-03,ハッピージャグラーVIII,644,2793,-1000,6,6,1/232.8,1/465.5,1/465.5
2023-11-03,ハッピージャグラーVIII,645,845,-700,1,0,1/845.0,1/845.0,1/0.0
2023-11-03,ハッピージャグラーVIII,646,724,-500,1,1,1/362.0,1/724.0,1/724.0
2023-11-03,ハッピージャグラーVIII,647,5613,+900,22,23,1/124.7,1/255.1,1/244.0
2023-11-03,ハッピージャグラーVIII,648,1369,+400,8,2,1/136.9,1/171.1,1/684.5
2023-11-03,ハッピージャグラーVIII,649,6693,+1100,26,25,1/131.2,1/257.4,1/267.7
2023-11-03,ハッピージャグラーVIII,650,3715,+600,16,12,1/132.7,1/232.2,1/309.6
2023-11-03,ゴブリンスレイヤー,521,1572,-1100,5,0,1/314.4,1/314.4,1/0.0
2023-11-03,ゴブリンスレイヤー,522,1247,-1400,2,0,1/623.5,1/623.5,1/0.0
2023-11-03,ゴブリンスレイヤー,523,132,-200,0,0,1/0.0,1/0.0,1/0.0
2023-11-03,ゴブリンスレイヤー,524,1097,-500,3,0,1/365.7,1/365.7,1/0.0
2023-11-03,ゴブリンスレイヤー,525,523,-500,1,0,1/523.0,1/523.0,1/0.0
2023-11-03,ゴブリンスレイヤー,526,124,-200,0,0,1/0.0,1/0.0,1/0.0
2023-11-03,ゴブリンスレイヤー,527,972,-1200,1,0,1/972.0,1/972.0,1/0.0
2023-11-03,ゴブリンスレイヤー,528,753,-400,2,0,1/376.5,1/376.5,1/0.0
2023-11-03,ハナハナホウオウ～天翔～-30,692,1818,+400,8,4,1/151.5,1/227.2,1/454.5
2023-11-03,ハナハナホウオウ～天翔～-30,693,991,-400,3,1,1/247.8,1/330.3,1/991.0
2023-11-03,ハナハナホウオウ～天翔～-30,694,216,-300,0,0,1/0.0,1/0.0,1/0.0
2023-11-03,ハナハナホウオウ～天翔～-30,695,8670,+1400,35,22,1/152.1,1/247.7,1/394.1
2023-11-03,ハナハナホウオウ～天翔～-30,696,1509,-900,3,1,1/377.2,1/503.0,1/1509.0
