日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-03-07,アイムジャグラーEX,118,835,-634,1,1,1/417.5,1/835.0,1/835.0
2023-03-07,アイムジャグラーEX,120,675,-462,1,1,1/337.5,1/675.0,1/675.0
2023-03-07,アイムジャグラーEX,121,559,-533,1,0,1/559.0,1/559.0,1/0.0
2023-03-07,アイムジャグラーEX,122,852,-654,1,1,1/426.0,1/852.0,1/852.0
2023-03-07,アイムジャグラーEX,123,1068,+238,5,1,1/178.0,1/213.6,1/1068.0
2023-03-07,アイムジャグラーEX,125,2206,+299,10,3,1/169.7,1/220.6,1/735.3
2023-03-07,アイムジャグラーEX,平均,1032,-291,3,1,1/238.3,1/326.1,1/885.0
2023-03-07,ディスクアップ2,60,1396,+339,4,2,1/232.7,1/349.0,1/698.0
2023-03-07,ディスクアップ2,61,1753,+43,4,3,1/250.4,1/438.2,1/584.3
2023-03-07,ディスクアップ2,62,1090,-790,1,4,1/218.0,1/1090.0,1/272.5
2023-03-07,ディスクアップ2,平均,1413,-136,3,3,1/235.5,1/471.0,1/471.0
2023-03-07,ハッピージャグラーVIII,130,2034,+146,7,6,1/156.5,1/290.6,1/339.0
2023-03-07,ハッピージャグラーVIII,131,2846,+212,10,10,1/142.3,1/284.6,1/284.6
2023-03-07,ハッピージャグラーVIII,132,557,-235,1,0,1/557.0,1/557.0,1/0.0
2023-03-07,ハッピージャグラーVIII,平均,1812,+41,6,5,1/159.9,1/302.1,1/339.8
2023-03-07,マイジャグラーV,126,1956,-214,7,3,1/195.6,1/279.4,1/652.0
2023-03-07,マイジャグラーV,127,1739,-550,4,5,1/193.2,1/434.8,1/347.8
2023-03-07,マイジャグラーV,128,2635,+390,11,6,1/155.0,1/239.5,1/439.2
2023-03-07,マイジャグラーV,平均,2110,-125,7,5,1/175.8,1/287.7,1/452.1
2023-03-07,GI優駿倶楽部3,68,1332,+1106,2,2,1/333.0,1/666.0,1/666.0
2023-03-07,GI優駿倶楽部3,70,1496,-127,1,3,1/374.0,1/1496.0,1/498.7
2023-03-07,GI優駿倶楽部3,平均,1414,+490,2,2,1/353.5,1/942.7,1/565.6
2023-03-07,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-07,ひぐらしのなく頃に祭2,22,0,0,0,0,1/0.0,1/0.0,1/0.0
