日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-12-03,閉鎖,680,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,682,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,685,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,687,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,707,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,717,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,閉鎖,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-12-03,アイムジャグラーEX-TP,121,4074,-35,14,11,1/163.0,1/291.0,1/370.4
2023-12-03,アイムジャグラーEX-TP,122,2618,-505,7,6,1/201.4,1/374.0,1/436.3
2023-12-03,アイムジャグラーEX-TP,123,6157,+3604,36,16,1/118.4,1/171.0,1/384.8
2023-12-03,アイムジャグラーEX-TP,125,5736,+594,24,13,1/155.0,1/239.0,1/441.2
2023-12-03,スマスロ北斗の拳,688,2324,-617,14,6,1/116.2,1/166.0,1/387.3
2023-12-03,スマスロ北斗の拳,701,1336,-463,8,3,1/121.5,1/167.0,1/445.3
2023-12-03,スマスロ北斗の拳,703,2485,+453,22,8,1/82.8,1/113.0,1/310.6
2023-12-03,ディスクアップ2,60,1783,-129,4,3,1/254.7,1/445.8,1/594.3
2023-12-03,ディスクアップ2,61,438,-507,0,2,1/219.0,1/0.0,1/219.0
2023-12-03,ディスクアップ2,62,7166,+828,25,13,1/188.6,1/286.6,1/551.2
2023-12-03,ハッピージャグラーVIII,130,884,+193,5,0,1/176.8,1/176.8,1/0.0
2023-12-03,ハッピージャグラーVIII,131,1840,-1265,2,4,1/306.7,1/920.0,1/460.0
2023-12-03,ハッピージャグラーVIII,132,2784,-3,9,9,1/154.7,1/309.3,1/309.3
2023-12-03,マイジャグラーV,126,5657,+175,20,16,1/157.1,1/282.9,1/353.6
2023-12-03,マイジャグラーV,127,2070,-68,7,6,1/159.2,1/295.7,1/345.0
