日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-28,閉鎖,680,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,682,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,685,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,687,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,707,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,717,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,閉鎖,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,アイムジャグラーEX-TP,121,1015,-114,4,1,1/203.0,1/253.8,1/1015.0
2023-11-28,アイムジャグラーEX-TP,122,796,-441,1,3,1/199.0,1/796.0,1/265.3
2023-11-28,アイムジャグラーEX-TP,123,1751,-208,5,5,1/175.1,1/350.2,1/350.2
2023-11-28,アイムジャグラーEX-TP,125,1008,-69,3,3,1/168.0,1/336.0,1/336.0
2023-11-28,スマスロ北斗の拳,688,2341,+111,18,7,1/93.6,1/130.1,1/334.4
2023-11-28,スマスロ北斗の拳,701,80,-86,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,スマスロ北斗の拳,703,1772,-929,10,5,1/118.1,1/177.2,1/354.4
2023-11-28,ディスクアップ2,60,1117,-770,2,1,1/372.3,1/558.5,1/1117.0
2023-11-28,ディスクアップ2,61,3012,-201,9,4,1/231.7,1/334.7,1/753.0
2023-11-28,ディスクアップ2,62,195,-280,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ハッピージャグラーVIII,130,599,+161,3,1,1/149.8,1/199.7,1/599.0
2023-11-28,ハッピージャグラーVIII,131,124,-143,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ハッピージャグラーVIII,132,33,-43,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,マイジャグラーV,126,2644,-219,9,5,1/188.9,1/293.8,1/528.8
2023-11-28,マイジャグラーV,127,2843,+127,9,10,1/149.6,1/315.9,1/284.3
2023-11-28,マイジャグラーV,128,3591,+1213,16,11,1/133.0,1/224.4,1/326.5
2023-11-28,甲鉄城のカバネリ,15,3125,+15,23,10,1/94.7,1/135.9,1/312.5
2023-11-28,甲鉄城のカバネリ,16,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,甲鉄城のカバネリ,17,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,HEY！エリートサラリーマン鏡,677,90,-136,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,HEY！エリートサラリーマン鏡,678,105,-158,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ひぐらしのなく頃に祭2,22,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ゴーゴージャグラー3,118,3895,+1957,21,13,1/114.6,1/185.5,1/299.6
2023-11-28,ゴーゴージャグラー3,120,518,-525,0,2,1/259.0,1/0.0,1/259.0
2023-11-28,ニューゲッターマウス,108,621,-263,2,1,1/207.0,1/310.5,1/621.0
2023-11-28,ニューゲッターマウス,110,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ニューパルサーDX3,115,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ニューパルサーDX3,116,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ニューパルサーSPⅢ,133,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ニューパルサーSPⅢ,135,146,-134,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ハードボイルド,18,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,ハードボイルド,20,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-28,バイオハザード:ヴェンデッタ,716,827,-1035,1,1,1/413.5,1/827.0,1/827.0
