日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-22,閉鎖,680,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,682,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,685,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,687,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,707,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,717,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,閉鎖,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,アイムジャグラーEX-TP,121,857,-510,2,1,1/285.7,1/428.5,1/857.0
2023-11-22,アイムジャグラーEX-TP,122,662,-51,2,2,1/165.5,1/331.0,1/331.0
2023-11-22,アイムジャグラーEX-TP,123,82,-136,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,アイムジャグラーEX-TP,125,3204,-794,7,13,1/160.2,1/457.7,1/246.5
2023-11-22,スマスロ北斗の拳,688,704,+21,4,1,1/140.8,1/176.0,1/704.0
2023-11-22,スマスロ北斗の拳,701,1142,-805,3,2,1/228.4,1/380.7,1/571.0
2023-11-22,スマスロ北斗の拳,703,2804,-762,19,5,1/116.8,1/147.6,1/560.8
2023-11-22,ディスクアップ2,60,4857,+342,16,10,1/186.8,1/303.6,1/485.7
2023-11-22,ディスクアップ2,61,426,-648,0,1,1/426.0,1/0.0,1/426.0
2023-11-22,ディスクアップ2,62,797,-843,0,2,1/398.5,1/0.0,1/398.5
2023-11-22,ハッピージャグラーVIII,130,1874,+61,7,5,1/156.2,1/267.7,1/374.8
2023-11-22,ハッピージャグラーVIII,131,243,-294,0,1,1/243.0,1/0.0,1/243.0
2023-11-22,ハッピージャグラーVIII,132,1042,+626,6,4,1/104.2,1/173.7,1/260.5
2023-11-22,マイジャグラーV,126,8,-21,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,マイジャグラーV,127,9084,-448,30,28,1/156.6,1/302.8,1/324.4
2023-11-22,マイジャグラーV,128,375,-114,1,0,1/375.0,1/375.0,1/0.0
2023-11-22,甲鉄城のカバネリ,15,2401,+1457,20,4,1/100.0,1/120.0,1/600.2
2023-11-22,甲鉄城のカバネリ,16,107,-162,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,甲鉄城のカバネリ,17,1054,+1086,12,3,1/70.3,1/87.8,1/351.3
2023-11-22,HEY！エリートサラリーマン鏡,677,1327,-642,6,2,1/165.9,1/221.2,1/663.5
2023-11-22,HEY！エリートサラリーマン鏡,678,2053,+1436,11,5,1/128.3,1/186.6,1/410.6
2023-11-22,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,ひぐらしのなく頃に祭2,22,383,+73,1,0,1/383.0,1/383.0,1/0.0
2023-11-22,ゴーゴージャグラー3,118,427,-238,1,0,1/427.0,1/427.0,1/0.0
2023-11-22,ゴーゴージャグラー3,120,47,-79,0,0,1/0.0,1/0.0,1/0.0
2023-11-22,ニューゲッターマウス,108,252,-64,1,0,1/252.0,1/252.0,1/0.0
