日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-03-06,アイムジャグラーEX,118,465,-132,2,0,1/232.5,1/232.5,1/0.0
2023-03-06,アイムジャグラーEX,120,632,+177,3,2,1/126.4,1/210.7,1/316.0
2023-03-06,アイムジャグラーEX,121,1651,-419,3,8,1/150.1,1/550.3,1/206.4
2023-03-06,アイムジャグラーEX,122,293,-335,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,アイムジャグラーEX,123,4061,+1020,18,10,1/145.0,1/225.6,1/406.1
2023-03-06,アイムジャグラーEX,125,1458,+314,6,4,1/145.8,1/243.0,1/364.5
2023-03-06,アイムジャグラーEX,平均,1427,+104,5,4,1/152.9,1/267.5,1/356.7
2023-03-06,ディスクアップ2,60,2544,-394,5,6,1/231.3,1/508.8,1/424.0
2023-03-06,ディスクアップ2,61,2470,+614,9,5,1/176.4,1/274.4,1/494.0
2023-03-06,ディスクアップ2,62,759,-417,2,0,1/379.5,1/379.5,1/0.0
2023-03-06,ディスクアップ2,平均,1924,-66,5,4,1/213.8,1/360.8,1/524.8
2023-03-06,ハッピージャグラーVIII,130,647,-612,0,2,1/323.5,1/0.0,1/323.5
2023-03-06,ハッピージャグラーVIII,131,4421,+1059,19,13,1/138.2,1/232.7,1/340.1
2023-03-06,ハッピージャグラーVIII,132,1102,+1085,9,1,1/110.2,1/122.4,1/1102.0
2023-03-06,ハッピージャグラーVIII,平均,2057,+511,9,5,1/140.2,1/220.4,1/385.6
2023-03-06,マイジャグラーV,126,1896,+628,8,7,1/126.4,1/237.0,1/270.9
2023-03-06,マイジャグラーV,127,5046,+1468,24,11,1/144.2,1/210.2,1/458.7
2023-03-06,マイジャグラーV,128,2109,+482,8,9,1/124.1,1/263.6,1/234.3
2023-03-06,マイジャグラーV,平均,3017,+859,13,9,1/135.1,1/226.3,1/335.2
2023-03-06,GI優駿倶楽部3,68,2255,-349,2,6,1/281.9,1/1127.5,1/375.8
2023-03-06,GI優駿倶楽部3,70,1126,-541,1,2,1/375.3,1/1126.0,1/563.0
2023-03-06,GI優駿倶楽部3,平均,1690,-445,2,4,1/307.4,1/1127.0,1/422.6
2023-03-06,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ひぐらしのなく頃に祭2,22,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ひぐらしのなく頃に祭2,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,チバリヨ‐25,66,152,-263,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,チバリヨ‐25,67,455,-685,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,チバリヨ‐25,平均,304,-474,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ニューパルサーDX3,113,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ニューパルサーDX3,115,317,-90,0,3,1/105.7,1/0.0,1/105.7
2023-03-06,ニューパルサーDX3,平均,158,-45,0,2,1/105.7,1/0.0,1/105.7
2023-03-06,ニューパルサーSPⅢ,133,758,-67,2,2,1/189.5,1/379.0,1/379.0
2023-03-06,ニューパルサーSPⅢ,135,586,-88,1,2,1/195.3,1/586.0,1/293.0
2023-03-06,ニューパルサーSPⅢ,平均,672,-78,2,2,1/192.0,1/448.0,1/336.0
2023-03-06,ハードボイルド,18,61,-93,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ハードボイルド,20,928,-313,2,3,1/185.6,1/464.0,1/309.3
2023-03-06,ハードボイルド,平均,494,-203,1,2,1/197.8,1/494.5,1/329.7
2023-03-06,リノヘブン,701,29,-42,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,リノヘブン,703,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,リノヘブン,平均,14,-21,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,主役は銭形3,13,164,-260,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,主役は銭形3,15,549,-693,0,1,1/549.0,1/0.0,1/549.0
2023-03-06,主役は銭形3,平均,356,-476,0,0,1/713.0,1/0.0,1/713.0
2023-03-06,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,718,1095,+174,14,14,1/39.1,1/78.2,1/78.2
2023-03-06,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,720,2268,-1053,19,19,1/59.7,1/119.4,1/119.4
2023-03-06,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,平均,1682,-440,16,16,1/51.0,1/101.9,1/101.9
2023-03-06,新ハナビ,136,61,-92,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,新ハナビ,137,3050,-922,7,10,1/179.4,1/435.7,1/305.0
2023-03-06,新ハナビ,平均,1556,-507,4,5,1/183.0,1/444.4,1/311.1
2023-03-06,甲鉄城のカバネリ,16,2818,+734,22,6,1/100.6,1/128.1,1/469.7
2023-03-06,甲鉄城のカバネリ,17,4909,+584,36,12,1/102.3,1/136.4,1/409.1
2023-03-06,甲鉄城のカバネリ,平均,3864,+659,29,9,1/101.7,1/133.2,1/429.3
2023-03-06,盾の勇者の成り上がり,63,2744,+498,62,11,1/37.6,1/44.3,1/249.5
2023-03-06,盾の勇者の成り上がり,65,789,+803,27,4,1/25.5,1/29.2,1/197.2
2023-03-06,盾の勇者の成り上がり,平均,1766,+650,44,8,1/34.0,1/39.7,1/235.5
2023-03-06,花火絶景,108,671,-850,0,2,1/335.5,1/0.0,1/335.5
2023-03-06,花火絶景,110,507,-121,1,0,1/507.0,1/507.0,1/0.0
2023-03-06,花火絶景,平均,589,-486,0,1,1/392.7,1/1178.0,1/589.0
2023-03-06,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,閉鎖,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,闘魂継承 アントニオ猪木という名のパチスロ機,1,30,-45,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,モンスターハンター:ワールドTM 黄金狩猟,2,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,新鬼武者～DAWN OF DREAMS～,3,139,-118,0,1,1/139.0,1/0.0,1/139.0
2023-03-06,アラジンAクラシック,5,13,-29,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,鉄拳4アルティメットデビルVer.,6,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,GANTZ極 THE SURVIVAL GAME,7,2,-4,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,花の慶次～武威～,8,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ラブ嬢2,10,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,キャッツアイ,11,4318,+4263,34,38,1/60.0,1/127.0,1/113.6
2023-03-06,バジリスク絆2,12,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,HEY!鏡,23,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,政宗 戦極,25,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,黄門ちゃまV女神盛‐MEGAMORI‐,26,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,とある科学の超電磁砲,27,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,サラリーマン金太郎～MAX～,28,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,機動戦士ガンダムユニコーン,30,7325,-4504,66,16,1/89.3,1/111.0,1/457.8
2023-03-06,ノーゲーム・ノーライフ,31,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,新鬼武者2,32,617,-643,1,0,1/617.0,1/617.0,1/0.0
2023-03-06,交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,33,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,犬夜叉,35,171,-84,2,1,1/57.0,1/85.5,1/171.0
2023-03-06,コードギアス反逆のルルーシュ3,36,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,押忍!番長ZERO,37,315,-381,1,0,1/315.0,1/315.0,1/0.0
2023-03-06,押忍!サラリーマン番長2,38,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,スーパーリオエース,50,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ブラックラグーン4,51,8,-14,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,バイオハザード RE:2,52,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ガンダム クロスオーバー,53,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,幼女戦記,55,11,-21,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,笑ゥせぇるすまん絶笑,56,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,BOOWY,57,179,-244,0,1,1/179.0,1/0.0,1/179.0
2023-03-06,実況BINGO倶楽部,58,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ゴッドイーター ジ・アニメーション,71,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,鉄拳5,72,1782,+767,4,2,1/297.0,1/445.5,1/891.0
2023-03-06,バイオハザード7 レジデント イービル,73,1634,-146,18,2,1/81.7,1/90.8,1/817.0
2023-03-06,モンキーターンⅣ,75,1947,+149,12,4,1/121.7,1/162.2,1/486.8
2023-03-06,政宗3,76,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,うしおととら 雷槍一閃,77,3,+3,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,スーパービンゴギャラクシー,78,258,-173,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,モンスターハンター:ワールド,80,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ガメラ,111,1444,-558,2,1,1/481.3,1/722.0,1/1444.0
2023-03-06,ピンクパンサーSP,112,2436,+867,10,4,1/174.0,1/243.6,1/609.0
2023-03-06,Re:ゼロから始める異世界生活Apex Vacation,116,824,+44,4,0,1/206.0,1/206.0,1/0.0
2023-03-06,ケロット4,117,696,+783,6,0,1/116.0,1/116.0,1/0.0
2023-03-06,マッピー,138,125,-104,0,1,1/125.0,1/0.0,1/125.0
2023-03-06,サンダーVライトニング,150,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,CCエンジェル,151,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,バーサスリヴァイズ,152,2377,+112,9,5,1/169.8,1/264.1,1/475.4
2023-03-06,革命機ヴァルヴレイヴ,688,5462,+1576,51,3,1/101.1,1/107.1,1/1820.7
2023-03-06,喰霊‐零‐ 運命乱～うんめいのみだれ～,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,トータル・イクリプス2,706,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,ガールズ＆パンツァーG～これが私の戦車道です！～,707,1211,+511,14,3,1/71.2,1/86.5,1/403.7
2023-03-06,戦国乙女3～天剣を継ぐもの～,708,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,みうのおしゃべりパチスロ,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,スカイガールズ~ゼロのツバサ~,711,262,-294,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,～ガールズケイリン～GIフェアリーグランプリ,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,Re:ゼロから始める異世界生活,713,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,マジカルハロウィン7,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-06,マジカルハロウィン～Trick or Treat!～,716,1321,+724,7,13,1/66.0,1/188.7,1/101.6
2023-03-06,エヴァンゲリオン フェスティバル,717,0,0,0,0,1/0.0,1/0.0,1/0.0
