日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-08,アイムジャグラーEX-TP,559,6202,+1700,29,22,1/121.6,1/213.9,1/281.9
2023-11-08,アイムジャグラーEX-TP,560,939,-300,3,0,1/313.0,1/313.0,1/0.0
2023-11-08,アイムジャグラーEX-TP,561,2848,-200,10,7,1/167.5,1/284.8,1/406.9
2023-11-08,アイムジャグラーEX-TP,562,1829,-700,4,6,1/182.9,1/457.2,1/304.8
2023-11-08,アイムジャグラーEX-TP,563,1231,+100,5,2,1/175.9,1/246.2,1/615.5
2023-11-08,アイムジャグラーEX-TP,564,876,-400,2,1,1/292.0,1/438.0,1/876.0
2023-11-08,アイムジャグラーEX-TP,565,1503,-600,3,4,1/214.7,1/501.0,1/375.8
2023-11-08,アイムジャグラーEX-TP,566,3313,+1400,19,4,1/144.0,1/174.4,1/828.2
2023-11-08,アイムジャグラーEX-TP,567,1646,-700,3,3,1/274.3,1/548.7,1/548.7
2023-11-08,アイムジャグラーEX-TP,568,5931,+1800,25,26,1/116.3,1/237.2,1/228.1
2023-11-08,アイムジャグラーEX-TP,569,1185,-100,5,2,1/169.3,1/237.0,1/592.5
2023-11-08,アイムジャグラーEX-TP,570,5612,+400,21,17,1/147.7,1/267.2,1/330.1
2023-11-08,アイムジャグラーEX-TP,571,6407,+1200,28,18,1/139.3,1/228.8,1/355.9
2023-11-08,アイムジャグラーEX-TP,572,1419,-600,4,2,1/236.5,1/354.8,1/709.5
2023-11-08,アイムジャグラーEX-TP,621,6874,+2300,34,16,1/137.5,1/202.2,1/429.6
2023-11-08,アイムジャグラーEX-TP,622,2269,+200,10,5,1/151.3,1/226.9,1/453.8
2023-11-08,アイムジャグラーEX-TP,623,1298,-700,2,5,1/185.4,1/649.0,1/259.6
2023-11-08,アイムジャグラーEX-TP,624,4816,+100,19,14,1/145.9,1/253.5,1/344.0
2023-11-08,アイムジャグラーEX-TP,625,6684,+2000,32,19,1/131.1,1/208.9,1/351.8
2023-11-08,アイムジャグラーEX-TP,626,7750,+1700,31,28,1/131.4,1/250.0,1/276.8
2023-11-08,アイムジャグラーEX-TP,627,2933,+800,12,10,1/133.3,1/244.4,1/293.3
2023-11-08,アイムジャグラーEX-TP,628,2993,-200,10,10,1/149.7,1/299.3,1/299.3
2023-11-08,アイムジャグラーEX-TP,629,300,-400,0,0,1/0.0,1/0.0,1/0.0
2023-11-08,アイムジャグラーEX-TP,630,1435,-100,4,5,1/159.4,1/358.8,1/287.0
2023-11-08,アイムジャグラーEX-TP,631,1592,-400,5,4,1/176.9,1/318.4,1/398.0
2023-11-08,アイムジャグラーEX-TP,632,4387,-100,16,11,1/162.5,1/274.2,1/398.8
2023-11-08,アイムジャグラーEX-TP,633,394,-300,0,1,1/394.0,1/0.0,1/394.0
2023-11-08,アイムジャグラーEX-TP,634,1246,-400,3,4,1/178.0,1/415.3,1/311.5
2023-11-08,アイムジャグラーEX-TP,635,2856,+700,13,8,1/136.0,1/219.7,1/357.0
2023-11-08,アイムジャグラーEX-TP,636,269,-200,0,0,1/0.0,1/0.0,1/0.0
2023-11-08,アイムジャグラーEX-TP,637,2501,-200,8,9,1/147.1,1/312.6,1/277.9
2023-11-08,アイムジャグラーEX-TP,638,1705,+600,8,7,1/113.7,1/213.1,1/243.6
2023-11-08,アイムジャグラーEX-TP,639,4430,+1000,20,12,1/138.4,1/221.5,1/369.2
2023-11-08,アイムジャグラーEX-TP,640,322,-400,0,0,1/0.0,1/0.0,1/0.0
2023-11-08,アイムジャグラーEX-TP,641,4168,+1400,21,12,1/126.3,1/198.5,1/347.3
2023-11-08,マイジャグラーV,497,4082,+100,17,9,1/157.0,1/240.1,1/453.6
2023-11-08,マイジャグラーV,498,3404,-600,10,8,1/189.1,1/340.4,1/425.5
