日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-26,閉鎖,680,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,682,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,685,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,687,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,707,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,717,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,閉鎖,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,アイムジャグラーEX-TP,121,100,-147,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,アイムジャグラーEX-TP,122,6477,+374,21,26,1/137.8,1/308.4,1/249.1
2023-11-26,アイムジャグラーEX-TP,123,147,-229,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,アイムジャグラーEX-TP,125,3427,+147,14,2,1/214.2,1/244.8,1/1713.5
2023-11-26,スマスロ北斗の拳,688,2943,+127,26,2,1/105.1,1/113.2,1/1471.5
2023-11-26,スマスロ北斗の拳,701,1925,-789,12,2,1/137.5,1/160.4,1/962.5
2023-11-26,スマスロ北斗の拳,703,817,-574,4,1,1/163.4,1/204.2,1/817.0
2023-11-26,ディスクアップ2,60,2030,+170,7,4,1/184.5,1/290.0,1/507.5
2023-11-26,ディスクアップ2,61,205,-231,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,ディスクアップ2,62,5725,+1615,21,10,1/184.7,1/272.6,1/572.5
2023-11-26,ハッピージャグラーVIII,130,3368,+560,12,14,1/129.5,1/280.7,1/240.6
2023-11-26,ハッピージャグラーVIII,131,2960,-1085,7,6,1/227.7,1/422.9,1/493.3
2023-11-26,ハッピージャグラーVIII,132,2578,+385,13,2,1/171.9,1/198.3,1/1289.0
2023-11-26,マイジャグラーV,126,3564,-757,10,11,1/169.7,1/356.4,1/324.0
2023-11-26,マイジャグラーV,127,1287,-7,4,3,1/183.9,1/321.8,1/429.0
2023-11-26,マイジャグラーV,128,1827,-679,5,4,1/203.0,1/365.4,1/456.8
2023-11-26,甲鉄城のカバネリ,15,1950,-904,8,4,1/162.5,1/243.8,1/487.5
2023-11-26,甲鉄城のカバネリ,16,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,甲鉄城のカバネリ,17,2909,-1771,12,6,1/161.6,1/242.4,1/484.8
2023-11-26,HEY！エリートサラリーマン鏡,677,417,-410,1,0,1/417.0,1/417.0,1/0.0
2023-11-26,HEY！エリートサラリーマン鏡,678,715,-613,2,1,1/238.3,1/357.5,1/715.0
2023-11-26,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,ひぐらしのなく頃に祭2,22,656,-557,1,1,1/328.0,1/656.0,1/656.0
2023-11-26,ゴーゴージャグラー3,118,2376,-119,9,5,1/169.7,1/264.0,1/475.2
2023-11-26,ゴーゴージャグラー3,120,612,-306,2,1,1/204.0,1/306.0,1/612.0
2023-11-26,ニューゲッターマウス,108,445,+429,4,1,1/89.0,1/111.2,1/445.0
2023-11-26,ニューゲッターマウス,110,3219,+570,15,12,1/119.2,1/214.6,1/268.2
2023-11-26,ニューパルサーDX3,115,1377,+211,6,1,1/196.7,1/229.5,1/1377.0
2023-11-26,ニューパルサーDX3,116,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,ニューパルサーSPⅢ,133,192,-284,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,ニューパルサーSPⅢ,135,67,-92,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,ハードボイルド,18,1158,+47,2,1,1/386.0,1/579.0,1/1158.0
2023-11-26,ハードボイルド,20,1283,+945,5,0,1/256.6,1/256.6,1/0.0
2023-11-26,バイオハザード:ヴェンデッタ,716,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,バイオハザード:ヴェンデッタ,718,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-26,バーサスリヴァイズ,151,2461,-792,5,6,1/223.7,1/492.2,1/410.2
