日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-24,閉鎖,680,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,682,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,685,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,687,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,707,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,717,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,閉鎖,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,アイムジャグラーEX-TP,121,633,-155,2,1,1/211.0,1/316.5,1/633.0
2023-11-24,アイムジャグラーEX-TP,122,1715,-866,3,4,1/245.0,1/571.7,1/428.8
2023-11-24,アイムジャグラーEX-TP,123,580,-415,1,1,1/290.0,1/580.0,1/580.0
2023-11-24,アイムジャグラーEX-TP,125,2914,-315,8,9,1/171.4,1/364.2,1/323.8
2023-11-24,スマスロ北斗の拳,688,5473,+190,47,10,1/96.0,1/116.4,1/547.3
2023-11-24,スマスロ北斗の拳,701,6699,-443,51,16,1/100.0,1/131.4,1/418.7
2023-11-24,スマスロ北斗の拳,703,2872,-558,19,7,1/110.5,1/151.2,1/410.3
2023-11-24,ディスクアップ2,60,3504,-514,9,4,1/269.5,1/389.3,1/876.0
2023-11-24,ディスクアップ2,61,1073,-779,1,2,1/357.7,1/1073.0,1/536.5
2023-11-24,ディスクアップ2,62,5006,-361,17,5,1/227.5,1/294.5,1/1001.2
2023-11-24,ハッピージャグラーVIII,130,1177,-329,3,2,1/235.4,1/392.3,1/588.5
2023-11-24,ハッピージャグラーVIII,131,634,-347,1,1,1/317.0,1/634.0,1/634.0
2023-11-24,ハッピージャグラーVIII,132,1929,-111,7,3,1/192.9,1/275.6,1/643.0
2023-11-24,マイジャグラーV,126,1585,-228,5,4,1/176.1,1/317.0,1/396.2
2023-11-24,マイジャグラーV,127,418,-409,0,1,1/418.0,1/0.0,1/418.0
2023-11-24,マイジャグラーV,128,2651,-906,6,9,1/176.7,1/441.8,1/294.6
2023-11-24,甲鉄城のカバネリ,15,3268,+451,24,11,1/93.4,1/136.2,1/297.1
2023-11-24,甲鉄城のカバネリ,16,1009,-525,4,3,1/144.1,1/252.2,1/336.3
2023-11-24,甲鉄城のカバネリ,17,707,-628,2,2,1/176.8,1/353.5,1/353.5
2023-11-24,HEY！エリートサラリーマン鏡,677,3805,-3080,10,3,1/292.7,1/380.5,1/1268.3
2023-11-24,HEY！エリートサラリーマン鏡,678,498,-142,3,0,1/166.0,1/166.0,1/0.0
2023-11-24,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,ひぐらしのなく頃に祭2,22,944,-551,2,2,1/236.0,1/472.0,1/472.0
2023-11-24,ゴーゴージャグラー3,118,1187,-333,4,2,1/197.8,1/296.8,1/593.5
2023-11-24,ゴーゴージャグラー3,120,994,-591,1,2,1/331.3,1/994.0,1/497.0
2023-11-24,ニューゲッターマウス,108,1117,+65,4,5,1/124.1,1/279.2,1/223.4
2023-11-24,ニューゲッターマウス,110,103,-151,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,ニューパルサーDX3,115,223,-175,0,1,1/223.0,1/0.0,1/223.0
2023-11-24,ニューパルサーDX3,116,105,-96,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,ニューパルサーSPⅢ,133,392,+221,2,1,1/130.7,1/196.0,1/392.0
2023-11-24,ニューパルサーSPⅢ,135,104,-160,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,ハードボイルド,18,667,+11,2,2,1/166.8,1/333.5,1/333.5
2023-11-24,ハードボイルド,20,844,-478,1,2,1/281.3,1/844.0,1/422.0
2023-11-24,バイオハザード:ヴェンデッタ,716,968,-917,3,2,1/193.6,1/322.7,1/484.0
2023-11-24,バイオハザード:ヴェンデッタ,718,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,バーサスリヴァイズ,151,3472,-436,9,11,1/173.6,1/385.8,1/315.6
2023-11-24,バーサスリヴァイズ,152,801,+127,3,2,1/160.2,1/267.0,1/400.5
2023-11-24,押忍!番長ZERO,66,1177,-236,8,1,1/130.8,1/147.1,1/1177.0
2023-11-24,押忍!番長ZERO,67,1877,-1093,9,3,1/156.4,1/208.6,1/625.7
2023-11-24,新ハナビ,136,1809,-278,5,3,1/226.1,1/361.8,1/603.0
2023-11-24,新ハナビ,137,2091,-714,4,4,1/261.4,1/522.8,1/522.8
2023-11-24,沖ドキ!DUO,63,8,-17,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,沖ドキ!DUO,65,2,-4,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,闘魂継承 アントニオ猪木という名のパチスロ機,1,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,モンスターハンター:ワールドTM 黄金狩猟,2,917,+176,10,0,1/91.7,1/91.7,1/0.0
2023-11-24,新鬼武者～DAWN OF DREAMS～,3,3365,-160,17,5,1/153.0,1/197.9,1/673.0
2023-11-24,主役は銭形3,5,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,鉄拳4アルティメットデビルVer.,6,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,リングにかけろ ワールドチャンピオンカーニバル編,7,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,花の慶次～武威～,8,2994,-97,18,5,1/130.2,1/166.3,1/598.8
2023-11-24,ラブ嬢2,10,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,キャッツアイ,11,115,-129,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,バジリスク絆2,12,2634,-588,18,9,1/97.6,1/146.3,1/292.7
2023-11-24,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,13,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,HEY!鏡,23,143,-182,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,アナザーゴッドハーデス‐解き放たれし槍撃ver.‐,25,41,-69,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,犬夜叉,26,98,-141,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,マジカルハロウィン7,27,1,-2,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,押忍!サラリーマン番長2,28,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,グランベルム,30,2328,+2469,55,44,1/23.5,1/42.3,1/52.9
2023-11-24,ツインエンジェルPARTY,31,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,新鬼武者2,32,2552,+572,19,10,1/88.0,1/134.3,1/255.2
2023-11-24,交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,33,28,-5,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,炎炎ノ消防隊,35,2041,+118,12,4,1/127.6,1/170.1,1/510.2
2023-11-24,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,36,6154,-1747,28,28,1/109.9,1/219.8,1/219.8
2023-11-24,傷物語 ‐始マリノ刻‐,37,146,-77,1,1,1/73.0,1/146.0,1/146.0
2023-11-24,トータル・イクリプス2,38,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,豪炎高校應援團 檄,50,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,ペルソナ5,51,2090,+678,18,25,1/48.6,1/116.1,1/83.6
2023-11-24,バイオハザード RE:2,52,605,+316,5,5,1/60.5,1/121.0,1/121.0
2023-11-24,エヴァンゲリオン フェスティバル,53,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,幼女戦記,55,7,-7,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,笑ゥせぇるすまん絶笑,56,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,スーパーリノSP,57,33,-41,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,コードギアス反逆のルルーシュ3 C.C.&Kallen ver.,58,526,+421,3,1,1/131.5,1/175.3,1/526.0
2023-11-24,Re:ゼロから始める異世界生活,68,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,GI優駿倶楽部3,70,1721,-1089,0,5,1/344.2,1/0.0,1/344.2
2023-11-24,ゴッドイーター ジ・アニメーション,71,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,鉄拳5,72,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,バイオハザード7 レジデント イービル,73,555,-645,2,0,1/277.5,1/277.5,1/0.0
2023-11-24,モンキーターンⅣ,75,776,-738,1,1,1/388.0,1/776.0,1/776.0
2023-11-24,政宗3,76,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,チバリヨ‐25,77,149,-229,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,スーパービンゴギャラクシー,78,12,+3,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,モンスターハンター:ワールド,80,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,花火絶景,111,2001,+480,5,0,1/400.2,1/400.2,1/0.0
2023-11-24,ピンクパンサーSP,112,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,うまい棒,113,42,-44,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,ガメラ,117,411,+171,1,0,1/411.0,1/411.0,1/0.0
2023-11-24,マッピー,138,145,-179,0,0,1/0.0,1/0.0,1/0.0
2023-11-24,サンダーVライトニング,150,823,+145,4,1,1/164.6,1/205.8,1/823.0
2023-11-24,革命機ヴァルヴレイヴ,681,886,-828,1,2,1/295.3,1/886.0,1/443.0
2023-11-24,キン肉マン～7人の悪魔超人編～,683,1832,+2411,19,2,1/87.2,1/96.4,1/916.0
2023-11-24,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語f‐フォルテ‐,686,1011,-200,7,6,1/77.8,1/144.4,1/168.5
