日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2022-09-03,アイムジャグラーEX,116,640,-150,2,1,1/213.3,1/320.0,1/640.0
2022-09-03,アイムジャグラーEX,117,1930,-870,4,5,1/214.4,1/482.5,1/386.0
2022-09-03,アイムジャグラーEX,118,2420,+430,11,5,1/151.2,1/220.0,1/484.0
2022-09-03,アイムジャグラーEX,120,2050,-310,7,3,1/205.0,1/292.9,1/683.3
2022-09-03,アイムジャグラーEX,121,790,-150,2,2,1/197.5,1/395.0,1/395.0
2022-09-03,アイムジャグラーEX,122,4550,+1050,19,15,1/133.8,1/239.5,1/303.3
2022-09-03,アイムジャグラーEX,123,830,-780,0,2,1/415.0,1/0.0,1/415.0
2022-09-03,アイムジャグラーEX,125,4520,+1010,20,9,1/155.9,1/226.0,1/502.2
2022-09-03,アイムジャグラーEX,平均,2216,+29,8,5,1/165.7,1/272.8,1/422.1
2022-09-03,甲鉄城のカバネリ,13,2240,+480,17,8,1/89.6,1/131.8,1/280.0
2022-09-03,甲鉄城のカバネリ,15,6080,+1100,45,22,1/90.7,1/135.1,1/276.4
2022-09-03,甲鉄城のカバネリ,16,6510,+1120,45,17,1/105.0,1/144.7,1/382.9
2022-09-03,甲鉄城のカバネリ,17,3780,+1530,32,9,1/92.2,1/118.1,1/420.0
2022-09-03,甲鉄城のカバネリ,平均,4652,+1058,35,14,1/95.4,1/133.9,1/332.3
2022-09-03,マイジャグラーV,126,8370,+3220,38,31,1/121.3,1/220.3,1/270.0
2022-09-03,マイジャグラーV,127,2610,-350,9,7,1/163.1,1/290.0,1/372.9
2022-09-03,マイジャグラーV,128,6850,+820,26,21,1/145.7,1/263.5,1/326.2
2022-09-03,マイジャグラーV,平均,5943,+1230,24,20,1/135.1,1/244.2,1/302.2
2022-09-03,新ハナビ,135,1890,+200,7,3,1/189.0,1/270.0,1/630.0
2022-09-03,新ハナビ,136,1070,+200,5,0,1/214.0,1/214.0,1/0.0
2022-09-03,新ハナビ,137,550,-520,0,1,1/550.0,1/0.0,1/550.0
2022-09-03,新ハナビ,平均,1170,-40,4,1,1/219.4,1/292.5,1/877.5
2022-09-03,Re:ゼロから始める異世界生活,688,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,Re:ゼロから始める異世界生活,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,Re:ゼロから始める異世界生活,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,ひぐらしのなく頃に祭2,18,260,-230,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,ひぐらしのなく頃に祭2,20,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,ひぐらしのなく頃に祭2,平均,130,-115,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,サラリーマン金太郎～MAX～,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,サラリーマン金太郎～MAX～,22,640,-320,2,1,1/213.3,1/320.0,1/640.0
2022-09-03,サラリーマン金太郎～MAX～,平均,320,-160,1,0,1/213.3,1/320.0,1/640.0
2022-09-03,ディスクアップ2,61,190,-230,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,ディスクアップ2,62,5140,-850,13,10,1/223.5,1/395.4,1/514.0
2022-09-03,ディスクアップ2,平均,2665,-540,6,5,1/231.7,1/410.0,1/533.0
2022-09-03,ニューパルサーDX3,112,30,-50,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,ニューパルサーDX3,113,2700,+60,8,9,1/158.8,1/337.5,1/300.0
2022-09-03,ニューパルサーDX3,平均,1365,+5,4,4,1/160.6,1/341.2,1/303.3
2022-09-03,ニューパルサーSPⅢ,130,1240,-730,2,1,1/413.3,1/620.0,1/1240.0
2022-09-03,ニューパルサーSPⅢ,131,1950,-290,4,8,1/162.5,1/487.5,1/243.8
2022-09-03,ニューパルサーSPⅢ,平均,1595,-510,3,4,1/212.7,1/531.7,1/354.4
2022-09-03,バジリスク絆2,63,150,-140,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,バジリスク絆2,65,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,バジリスク絆2,平均,75,-70,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,718,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,リングにかけろ ワールドチャンピオンカーニバル編,1,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,モンスターハンター:ワールドTM 黄金狩猟,2,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,新鬼武者～DAWN OF DREAMS～,3,250,-190,0,1,1/250.0,1/0.0,1/250.0
2022-09-03,北斗の拳 宿命,5,2080,-510,15,3,1/115.6,1/138.7,1/693.3
2022-09-03,青の祓魔師,6,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,GANTZ極 THE SURVIVAL GAME,7,190,-100,0,3,1/63.3,1/0.0,1/63.3
2022-09-03,花の慶次～武威～,8,0,0,0,0,1/0.0,1/0.0,1/0.0
2022-09-03,ラブ嬢2,10,3270,-830,20,7,1/121.1,1/163.5,1/467.1
