日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-03-03,マイジャグラーV,131,6218,-680,18,20,1/163.6,1/345.4,1/310.9
2023-03-03,マイジャグラーV,132,4363,+107,18,9,1/161.6,1/242.4,1/484.8
2023-03-03,マイジャグラーV,133,9289,+4601,42,49,1/102.1,1/221.2,1/189.6
2023-03-03,マイジャグラーV,135,4675,+381,21,8,1/161.2,1/222.6,1/584.4
2023-03-03,マイジャグラーV,136,8340,+399,31,31,1/134.5,1/269.0,1/269.0
2023-03-03,マイジャグラーV,平均,6577,+962,26,23,1/133.1,1/253.0,1/281.1
2023-03-03,HEY！エリートサラリーマン鏡,202,8635,+3113,59,30,1/97.0,1/146.4,1/287.8
2023-03-03,HEY！エリートサラリーマン鏡,203,7031,+3055,44,20,1/109.9,1/159.8,1/351.6
2023-03-03,HEY！エリートサラリーマン鏡,205,8014,+2117,36,18,1/148.4,1/222.6,1/445.2
2023-03-03,HEY！エリートサラリーマン鏡,206,3959,-954,19,7,1/152.3,1/208.4,1/565.6
2023-03-03,HEY！エリートサラリーマン鏡,平均,6910,+1833,40,19,1/118.6,1/174.9,1/368.5
2023-03-03,ファンキージャグラー2,137,7380,+1238,32,18,1/147.6,1/230.6,1/410.0
2023-03-03,ファンキージャグラー2,138,9286,+3612,46,34,1/116.1,1/201.9,1/273.1
2023-03-03,ファンキージャグラー2,150,4033,-772,12,12,1/168.0,1/336.1,1/336.1
2023-03-03,ファンキージャグラー2,151,7711,+407,33,17,1/154.2,1/233.7,1/453.6
2023-03-03,ファンキージャグラー2,平均,7102,+1121,31,20,1/139.3,1/231.0,1/350.7
2023-03-03,アイムジャグラーEX,127,5890,-288,24,14,1/155.0,1/245.4,1/420.7
2023-03-03,アイムジャグラーEX,128,6198,+503,27,17,1/140.9,1/229.6,1/364.6
2023-03-03,アイムジャグラーEX,130,8133,+739,29,37,1/123.2,1/280.4,1/219.8
2023-03-03,アイムジャグラーEX,平均,6740,+318,27,23,1/136.6,1/252.8,1/297.4
2023-03-03,バキ 強くなりたくば喰らえ!!!,188,1523,-1759,7,9,1/95.2,1/217.6,1/169.2
2023-03-03,バキ 強くなりたくば喰らえ!!!,200,1036,-775,10,4,1/74.0,1/103.6,1/259.0
2023-03-03,バキ 強くなりたくば喰らえ!!!,201,2603,+17246,184,11,1/13.3,1/14.1,1/236.6
2023-03-03,バキ 強くなりたくば喰らえ!!!,平均,1721,+4904,67,8,1/22.9,1/25.7,1/215.1
2023-03-03,押忍!番長ZERO,175,4225,+2552,68,15,1/50.9,1/62.1,1/281.7
2023-03-03,押忍!番長ZERO,176,1241,-1122,9,2,1/112.8,1/137.9,1/620.5
2023-03-03,押忍!番長ZERO,177,1192,-700,8,2,1/119.2,1/149.0,1/596.0
2023-03-03,押忍!番長ZERO,平均,2219,+243,28,6,1/64.0,1/78.3,1/350.4
2023-03-03,甲鉄城のカバネリ,112,3354,+2578,45,18,1/53.2,1/74.5,1/186.3
