日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-02-05,アイムジャグラーEX,118,6226,-146,21,18,1/159.6,1/296.5,1/345.9
2023-02-05,アイムジャグラーEX,120,168,-186,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,アイムジャグラーEX,121,919,+25,4,1,1/183.8,1/229.8,1/919.0
2023-02-05,アイムジャグラーEX,122,6405,+646,23,28,1/125.6,1/278.5,1/228.8
2023-02-05,アイムジャグラーEX,123,4129,+250,15,12,1/152.9,1/275.3,1/344.1
2023-02-05,アイムジャグラーEX,125,1201,-866,2,0,1/600.5,1/600.5,1/0.0
2023-02-05,アイムジャグラーEX,平均,3175,-46,11,10,1/153.6,1/293.0,1/322.8
2023-02-05,ディスクアップ2,60,452,+31,2,0,1/226.0,1/226.0,1/0.0
2023-02-05,ディスクアップ2,61,4515,-1101,12,6,1/250.8,1/376.2,1/752.5
2023-02-05,ディスクアップ2,62,839,-311,2,1,1/279.7,1/419.5,1/839.0
2023-02-05,ディスクアップ2,平均,1935,-460,5,2,1/252.4,1/362.9,1/829.4
2023-02-05,ハッピージャグラーVIII,130,906,-951,0,2,1/453.0,1/0.0,1/453.0
2023-02-05,ハッピージャグラーVIII,131,4520,+878,21,11,1/141.2,1/215.2,1/410.9
2023-02-05,ハッピージャグラーVIII,132,793,-389,2,0,1/396.5,1/396.5,1/0.0
2023-02-05,ハッピージャグラーVIII,平均,2073,-154,8,4,1/172.8,1/270.4,1/478.4
2023-02-05,マイジャグラーV,126,6112,+938,26,13,1/156.7,1/235.1,1/470.2
2023-02-05,マイジャグラーV,127,1525,+879,9,4,1/117.3,1/169.4,1/381.2
2023-02-05,マイジャグラーV,128,5458,+593,19,21,1/136.4,1/287.3,1/259.9
2023-02-05,マイジャグラーV,平均,4365,+803,18,13,1/142.3,1/242.5,1/344.6
2023-02-05,ひぐらしのなく頃に祭2,21,460,-76,0,2,1/230.0,1/0.0,1/230.0
2023-02-05,ひぐらしのなく頃に祭2,22,771,-252,1,2,1/257.0,1/771.0,1/385.5
2023-02-05,ひぐらしのなく頃に祭2,平均,616,-164,0,2,1/246.2,1/1231.0,1/307.8
2023-02-05,アラジンAクラシック,63,385,-555,1,0,1/385.0,1/385.0,1/0.0
2023-02-05,アラジンAクラシック,65,683,+884,13,1,1/48.8,1/52.5,1/683.0
2023-02-05,アラジンAクラシック,平均,534,+164,7,0,1/71.2,1/76.3,1/1068.0
2023-02-05,チバリヨ‐25,66,1833,+1609,11,6,1/107.8,1/166.6,1/305.5
2023-02-05,チバリヨ‐25,67,923,+502,6,0,1/153.8,1/153.8,1/0.0
2023-02-05,チバリヨ‐25,平均,1378,+1056,8,3,1/119.8,1/162.1,1/459.3
2023-02-05,ニューパルサーDX3,113,1492,+311,5,7,1/124.3,1/298.4,1/213.1
2023-02-05,ニューパルサーDX3,115,3368,+1109,15,6,1/160.4,1/224.5,1/561.3
2023-02-05,ニューパルサーDX3,平均,2430,+710,10,6,1/147.3,1/243.0,1/373.8
2023-02-05,ニューパルサーSPⅢ,133,2038,-486,6,4,1/203.8,1/339.7,1/509.5
2023-02-05,ニューパルサーSPⅢ,135,2835,-642,8,5,1/218.1,1/354.4,1/567.0
2023-02-05,ニューパルサーSPⅢ,平均,2436,-564,7,4,1/211.9,1/348.1,1/541.4
2023-02-05,ハードボイルド,18,1264,-591,2,3,1/252.8,1/632.0,1/421.3
2023-02-05,ハードボイルド,20,1215,-257,2,3,1/243.0,1/607.5,1/405.0
2023-02-05,ハードボイルド,平均,1240,-424,2,3,1/247.9,1/619.8,1/413.2
2023-02-05,リノヘブン,701,2059,-962,6,4,1/205.9,1/343.2,1/514.8
2023-02-05,リノヘブン,703,540,+660,3,6,1/60.0,1/180.0,1/90.0
2023-02-05,リノヘブン,平均,1300,-151,4,5,1/136.8,1/288.8,1/259.9
2023-02-05,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,718,863,+1431,21,21,1/20.5,1/41.1,1/41.1
2023-02-05,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,720,2149,+1603,38,38,1/28.3,1/56.6,1/56.6
2023-02-05,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,平均,1506,+1517,30,30,1/25.5,1/51.1,1/51.1
2023-02-05,新ハナビ,136,1195,-218,3,3,1/199.2,1/398.3,1/398.3
2023-02-05,新ハナビ,137,1626,-247,5,4,1/180.7,1/325.2,1/406.5
2023-02-05,新ハナビ,平均,1410,-232,4,4,1/188.1,1/352.6,1/403.0
2023-02-05,甲鉄城のカバネリ,16,3456,-1196,19,9,1/123.4,1/181.9,1/384.0
2023-02-05,甲鉄城のカバネリ,17,3665,-1851,17,12,1/126.4,1/215.6,1/305.4
2023-02-05,甲鉄城のカバネリ,平均,3560,-1524,18,10,1/124.9,1/197.8,1/339.1
2023-02-05,花火絶景,108,645,-848,0,1,1/645.0,1/0.0,1/645.0
2023-02-05,花火絶景,110,7,-14,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,花火絶景,平均,326,-431,0,0,1/652.0,1/0.0,1/652.0
2023-02-05,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,閉鎖,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,闘魂継承 アントニオ猪木という名のパチスロ機,1,2181,-673,9,4,1/167.8,1/242.3,1/545.2
2023-02-05,モンスターハンター:ワールドTM 黄金狩猟,2,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,新鬼武者～DAWN OF DREAMS～,3,699,-393,0,2,1/349.5,1/0.0,1/349.5
2023-02-05,北斗の拳 宿命,5,720,+431,11,1,1/60.0,1/65.5,1/720.0
2023-02-05,鉄拳4アルティメットデビルVer.,6,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,GANTZ極 THE SURVIVAL GAME,7,401,+239,6,5,1/36.5,1/66.8,1/80.2
2023-02-05,花の慶次～武威～,8,3,-6,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ラブ嬢2,10,3986,-695,26,9,1/113.9,1/153.3,1/442.9
2023-02-05,天元突破グレンラガン,11,24,-14,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,サラリーマン金太郎～MAX～,12,297,-38,0,2,1/148.5,1/0.0,1/148.5
2023-02-05,キャッツアイ,13,1621,-269,8,8,1/101.3,1/202.6,1/202.6
2023-02-05,バジリスク絆2,15,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ボンバーパワフルIII,23,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,政宗 戦極,25,895,-273,11,4,1/59.7,1/81.4,1/223.8
2023-02-05,黄門ちゃまV女神盛‐MEGAMORI‐,26,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,とある科学の超電磁砲,27,3427,-1206,42,11,1/64.7,1/81.6,1/311.5
2023-02-05,天下布武4,28,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,BOOWY,30,56,-96,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ノーゲーム・ノーライフ,31,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,新鬼武者2,32,4299,-549,30,13,1/100.0,1/143.3,1/330.7
2023-02-05,交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,33,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,犬夜叉,35,1491,+2151,30,2,1/46.6,1/49.7,1/745.5
2023-02-05,コードギアス反逆のルルーシュ3,36,391,+239,2,4,1/65.2,1/195.5,1/97.8
2023-02-05,押忍!番長ZERO,37,4770,-1387,27,6,1/144.5,1/176.7,1/795.0
2023-02-05,真・北斗無双,38,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,スーパーリオエース,50,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ブラックラグーン4,51,6,-9,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,バイオハザード RE:2,52,3480,-989,17,17,1/102.4,1/204.7,1/204.7
2023-02-05,ガンダム クロスオーバー,53,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,幼女戦記,55,3964,-66,82,3,1/46.6,1/48.3,1/1321.3
2023-02-05,笑ゥせぇるすまん絶笑,56,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,デビル メイ クライ 5,57,114,-106,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,実況BINGO倶楽部,58,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,HEY!鏡,68,1327,-294,4,2,1/221.2,1/331.8,1/663.5
2023-02-05,押忍!サラリーマン番長2,70,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ゴッドイーター ジ・アニメーション,71,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,鉄拳5,72,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,バイオハザード7 レジデント イービル,73,1584,-737,14,2,1/99.0,1/113.1,1/792.0
2023-02-05,モンキーターンⅣ,75,2378,-75,14,5,1/125.2,1/169.9,1/475.6
2023-02-05,政宗3,76,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,うしおととら 雷槍一閃,77,12,-18,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,スーパービンゴギャラクシー,78,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,モンスターハンター:ワールド,80,1183,-1068,0,2,1/591.5,1/0.0,1/591.5
2023-02-05,ガメラ,111,32,-47,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ピンクパンサーSP,112,2401,+633,8,5,1/184.7,1/300.1,1/480.2
2023-02-05,Re:ゼロから始める異世界生活Apex Vacation,116,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ケロット4,117,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,マッピー,138,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,サンダーVライトニング,150,60,-90,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,CCエンジェル,151,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,バーサスリヴァイズ,152,4654,-503,14,14,1/166.2,1/332.4,1/332.4
2023-02-05,革命機ヴァルヴレイヴ,688,6120,-1364,18,6,1/255.0,1/340.0,1/1020.0
2023-02-05,喰霊‐零‐ 運命乱～うんめいのみだれ～,705,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,トータル・イクリプス2,706,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,ガールズ＆パンツァーG～これが私の戦車道です！～,707,242,-239,0,1,1/242.0,1/0.0,1/242.0
2023-02-05,戦国乙女3～天剣を継ぐもの～,708,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,みうのおしゃべりパチスロ,710,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,スカイガールズ~ゼロのツバサ~,711,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,～ガールズケイリン～GIフェアリーグランプリ,712,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,Re:ゼロから始める異世界生活,713,1,-3,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,マジカルハロウィン7,715,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,マジカルハロウィン～Trick or Treat!～,716,36,-70,0,0,1/0.0,1/0.0,1/0.0
2023-02-05,エヴァンゲリオン フェスティバル,717,0,0,0,0,1/0.0,1/0.0,1/0.0
