日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-03-03,アイムジャグラーEX,118,3163,-294,10,8,1/175.7,1/316.3,1/395.4
2023-03-03,アイムジャグラーEX,120,1173,-737,2,2,1/293.2,1/586.5,1/586.5
2023-03-03,アイムジャグラーEX,121,1430,-820,2,3,1/286.0,1/715.0,1/476.7
2023-03-03,アイムジャグラーEX,122,2156,-156,7,5,1/179.7,1/308.0,1/431.2
2023-03-03,アイムジャグラーEX,123,739,-631,1,1,1/369.5,1/739.0,1/739.0
2023-03-03,アイムジャグラーEX,125,4557,+2306,23,12,1/130.2,1/198.1,1/379.8
2023-03-03,アイムジャグラーEX,平均,2203,-55,8,5,1/173.9,1/293.7,1/426.4
2023-03-03,ディスクアップ2,60,1749,+567,7,3,1/174.9,1/249.9,1/583.0
2023-03-03,ディスクアップ2,61,5229,+219,16,14,1/174.3,1/326.8,1/373.5
2023-03-03,ディスクアップ2,62,412,-529,0,1,1/412.0,1/0.0,1/412.0
2023-03-03,ディスクアップ2,平均,2463,+86,8,6,1/180.2,1/321.3,1/410.6
2023-03-03,ハッピージャグラーVIII,130,1930,-466,6,3,1/214.4,1/321.7,1/643.3
2023-03-03,ハッピージャグラーVIII,131,2154,+347,9,4,1/165.7,1/239.3,1/538.5
2023-03-03,ハッピージャグラーVIII,132,776,+86,4,0,1/194.0,1/194.0,1/0.0
2023-03-03,ハッピージャグラーVIII,平均,1620,-11,6,2,1/186.9,1/255.8,1/694.3
2023-03-03,マイジャグラーV,126,2667,-639,8,5,1/205.2,1/333.4,1/533.4
2023-03-03,マイジャグラーV,127,5813,+188,17,23,1/145.3,1/341.9,1/252.7
2023-03-03,マイジャグラーV,128,3404,-1439,6,7,1/261.8,1/567.3,1/486.3
2023-03-03,マイジャグラーV,平均,3961,-630,10,12,1/180.1,1/383.4,1/339.5
2023-03-03,ひぐらしのなく頃に祭2,21,592,+558,3,2,1/118.4,1/197.3,1/296.0
2023-03-03,ひぐらしのなく頃に祭2,22,1496,+860,5,3,1/187.0,1/299.2,1/498.7
2023-03-03,ひぐらしのなく頃に祭2,平均,1044,+709,4,2,1/160.6,1/261.0,1/417.6
2023-03-03,チバリヨ‐25,66,173,-291,0,0,1/0.0,1/0.0,1/0.0
2023-03-03,チバリヨ‐25,67,400,-523,0,1,1/400.0,1/0.0,1/400.0
2023-03-03,チバリヨ‐25,平均,286,-407,0,0,1/573.0,1/0.0,1/573.0
2023-03-03,ニューパルサーDX3,113,235,-315,0,0,1/0.0,1/0.0,1/0.0
2023-03-03,ニューパルサーDX3,115,1387,-825,0,6,1/231.2,1/0.0,1/231.2
2023-03-03,ニューパルサーDX3,平均,811,-570,0,3,1/270.3,1/0.0,1/270.3
2023-03-03,ニューパルサーSPⅢ,133,640,-727,0,1,1/640.0,1/0.0,1/640.0
2023-03-03,ニューパルサーSPⅢ,135,2137,-779,4,7,1/194.3,1/534.2,1/305.3
2023-03-03,ニューパルサーSPⅢ,平均,1388,-753,2,4,1/231.4,1/694.2,1/347.1
2023-03-03,ハードボイルド,18,747,-1037,0,2,1/373.5,1/0.0,1/373.5
2023-03-03,ハードボイルド,20,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-03,ハードボイルド,平均,374,-518,0,1,1/373.5,1/0.0,1/373.5
2023-03-03,リノヘブン,701,34,-46,0,0,1/0.0,1/0.0,1/0.0
