日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-11-24,アイムジャグラーEX-TP,561,7839,-300,25,25,1/156.8,1/313.6,1/313.6
2023-11-24,アイムジャグラーEX-TP,562,6792,+500,27,17,1/154.4,1/251.6,1/399.5
2023-11-24,アイムジャグラーEX-TP,563,3686,-1300,8,10,1/204.8,1/460.8,1/368.6
2023-11-24,アイムジャグラーEX-TP,564,7866,+1100,31,29,1/131.1,1/253.7,1/271.2
2023-11-24,アイムジャグラーEX-TP,565,3922,-900,11,11,1/178.3,1/356.5,1/356.5
2023-11-24,アイムジャグラーEX-TP,566,7426,+1100,30,25,1/135.0,1/247.5,1/297.0
2023-11-24,アイムジャグラーEX-TP,567,3239,-700,10,5,1/215.9,1/323.9,1/647.8
2023-11-24,アイムジャグラーEX-TP,568,6994,+1600,34,18,1/134.5,1/205.7,1/388.6
2023-11-24,アイムジャグラーEX-TP,569,7448,+1300,33,21,1/137.9,1/225.7,1/354.7
2023-11-24,アイムジャグラーEX-TP,570,7281,+1400,32,23,1/132.4,1/227.5,1/316.6
2023-11-24,アイムジャグラーEX-TP,571,7465,-700,24,24,1/155.5,1/311.0,1/311.0
2023-11-24,アイムジャグラーEX-TP,572,4616,-800,14,11,1/184.6,1/329.7,1/419.6
2023-11-24,アイムジャグラーEX-TP,621,5367,-600,18,15,1/162.6,1/298.2,1/357.8
2023-11-24,アイムジャグラーEX-TP,622,6943,+200,25,25,1/138.9,1/277.7,1/277.7
2023-11-24,アイムジャグラーEX-TP,623,7461,+3200,36,29,1/114.8,1/207.2,1/257.3
2023-11-24,アイムジャグラーEX-TP,624,7238,+1200,29,33,1/116.7,1/249.6,1/219.3
2023-11-24,アイムジャグラーEX-TP,625,8841,-900,25,39,1/138.1,1/353.6,1/226.7
2023-11-24,アイムジャグラーEX-TP,626,6623,+4000,36,32,1/97.4,1/184.0,1/207.0
2023-11-24,アイムジャグラーEX-TP,627,6425,+1500,30,17,1/136.7,1/214.2,1/377.9
2023-11-24,アイムジャグラーEX-TP,628,6840,+1000,29,19,1/142.5,1/235.9,1/360.0
2023-11-24,アイムジャグラーEX-TP,629,6663,+600,29,16,1/148.1,1/229.8,1/416.4
2023-11-24,アイムジャグラーEX-TP,630,7011,+800,29,20,1/143.1,1/241.8,1/350.6
2023-11-24,アイムジャグラーEX-TP,631,5693,-200,23,14,1/153.9,1/247.5,1/406.6
2023-11-24,アイムジャグラーEX-TP,632,7595,+1100,30,22,1/146.1,1/253.2,1/345.2
2023-11-24,アイムジャグラーEX-TP,633,5454,-1300,16,13,1/188.1,1/340.9,1/419.5
2023-11-24,アイムジャグラーEX-TP,634,8638,+3600,44,30,1/116.7,1/196.3,1/287.9
2023-11-24,アイムジャグラーEX-TP,635,4193,-800,12,13,1/167.7,1/349.4,1/322.5
2023-11-24,アイムジャグラーEX-TP,636,7210,-900,21,26,1/153.4,1/343.3,1/277.3
2023-11-24,アイムジャグラーEX-TP,637,3248,-1100,9,7,1/203.0,1/360.9,1/464.0
2023-11-24,アイムジャグラーEX-TP,638,5544,-1900,14,16,1/184.8,1/396.0,1/346.5
2023-11-24,アイムジャグラーEX-TP,639,6454,-800,21,18,1/165.5,1/307.3,1/358.6
