日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-03-10,アイムジャグラーEX,118,1297,+123,6,1,1/185.3,1/216.2,1/1297.0
2023-03-10,アイムジャグラーEX,120,771,-684,1,1,1/385.5,1/771.0,1/771.0
2023-03-10,アイムジャグラーEX,121,590,-556,1,0,1/590.0,1/590.0,1/0.0
2023-03-10,アイムジャグラーEX,122,854,-887,0,2,1/427.0,1/0.0,1/427.0
2023-03-10,アイムジャグラーEX,123,1520,-305,4,3,1/217.1,1/380.0,1/506.7
2023-03-10,アイムジャグラーEX,125,3006,-625,8,9,1/176.8,1/375.8,1/334.0
2023-03-10,アイムジャグラーEX,平均,1340,-489,3,3,1/223.3,1/401.9,1/502.4
2023-03-10,ディスクアップ2,60,1285,+566,5,0,1/257.0,1/257.0,1/0.0
2023-03-10,ディスクアップ2,61,392,-506,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,ディスクアップ2,62,930,+601,5,2,1/132.9,1/186.0,1/465.0
2023-03-10,ディスクアップ2,平均,869,+220,3,1,1/217.2,1/260.7,1/1303.5
2023-03-10,ハッピージャグラーVIII,130,4952,+1514,25,8,1/150.1,1/198.1,1/619.0
2023-03-10,ハッピージャグラーVIII,131,635,-216,2,1,1/211.7,1/317.5,1/635.0
2023-03-10,ハッピージャグラーVIII,132,1693,-47,6,4,1/169.3,1/282.2,1/423.2
2023-03-10,ハッピージャグラーVIII,平均,2427,+417,11,4,1/158.3,1/220.6,1/560.0
2023-03-10,マイジャグラーV,126,2359,-270,8,4,1/196.6,1/294.9,1/589.8
2023-03-10,マイジャグラーV,127,4098,+1034,17,16,1/124.2,1/241.1,1/256.1
2023-03-10,マイジャグラーV,128,451,+14,2,0,1/225.5,1/225.5,1/0.0
2023-03-10,マイジャグラーV,平均,2303,+259,9,7,1/147.0,1/255.9,1/345.4
2023-03-10,GI優駿倶楽部3,68,574,+14,1,1,1/287.0,1/574.0,1/574.0
2023-03-10,GI優駿倶楽部3,70,1105,-822,0,3,1/368.3,1/0.0,1/368.3
2023-03-10,GI優駿倶楽部3,平均,840,-404,0,2,1/335.8,1/1679.0,1/419.8
2023-03-10,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,ひぐらしのなく頃に祭2,22,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,ひぐらしのなく頃に祭2,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,チバリヨ‐25,66,2821,+2374,16,10,1/108.5,1/176.3,1/282.1
2023-03-10,チバリヨ‐25,67,115,-172,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,チバリヨ‐25,平均,1468,+1101,8,5,1/112.9,1/183.5,1/293.6
2023-03-10,ニューパルサーDX3,113,5,-9,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,ニューパルサーDX3,115,1193,+290,5,3,1/149.1,1/238.6,1/397.7
2023-03-10,ニューパルサーDX3,平均,599,+140,2,2,1/149.8,1/239.6,1/399.3
2023-03-10,ニューパルサーSPⅢ,133,519,-66,1,2,1/173.0,1/519.0,1/259.5
2023-03-10,ニューパルサーSPⅢ,135,588,+407,4,0,1/147.0,1/147.0,1/0.0
2023-03-10,ニューパルサーSPⅢ,平均,554,+170,2,1,1/158.1,1/221.4,1/553.5
2023-03-10,ハードボイルド,18,158,-182,0,1,1/158.0,1/0.0,1/158.0
2023-03-10,ハードボイルド,20,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,ハードボイルド,平均,79,-91,0,0,1/158.0,1/0.0,1/158.0
2023-03-10,リノヘブン,701,203,-307,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,リノヘブン,703,874,+1521,8,4,1/72.8,1/109.2,1/218.5
2023-03-10,リノヘブン,平均,538,+607,4,2,1/89.8,1/134.6,1/269.2
2023-03-10,主役は銭形3,13,334,-140,2,1,1/111.3,1/167.0,1/334.0
2023-03-10,主役は銭形3,15,362,-453,0,1,1/362.0,1/0.0,1/362.0
2023-03-10,主役は銭形3,平均,348,-296,1,1,1/174.0,1/348.0,1/348.0
2023-03-10,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,718,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-10,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,720,846,-98,9,9,1/47.0,1/94.0,1/94.0
