日付,機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
2023-03-08,アイムジャグラーEX,118,1148,-192,4,1,1/229.6,1/287.0,1/1148.0
2023-03-08,アイムジャグラーEX,120,697,-582,0,3,1/232.3,1/0.0,1/232.3
2023-03-08,アイムジャグラーEX,121,1673,+424,8,3,1/152.1,1/209.1,1/557.7
2023-03-08,アイムジャグラーEX,122,853,-763,1,1,1/426.5,1/853.0,1/853.0
2023-03-08,アイムジャグラーEX,123,345,-367,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,アイムジャグラーEX,125,954,-490,2,2,1/238.5,1/477.0,1/477.0
2023-03-08,アイムジャグラーEX,平均,945,-328,2,2,1/226.8,1/378.0,1/567.0
2023-03-08,ディスクアップ2,60,1243,-628,2,2,1/310.8,1/621.5,1/621.5
2023-03-08,ディスクアップ2,61,954,-487,2,0,1/477.0,1/477.0,1/0.0
2023-03-08,ディスクアップ2,62,3082,-200,10,3,1/237.1,1/308.2,1/1027.3
2023-03-08,ディスクアップ2,平均,1760,-438,5,2,1/277.8,1/377.1,1/1055.8
2023-03-08,ハッピージャグラーVIII,130,398,-460,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,ハッピージャグラーVIII,131,2585,+1124,12,9,1/123.1,1/215.4,1/287.2
2023-03-08,ハッピージャグラーVIII,132,154,-182,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,ハッピージャグラーVIII,平均,1046,+161,4,3,1/149.4,1/261.4,1/348.6
2023-03-08,マイジャグラーV,126,1451,-335,4,4,1/181.4,1/362.8,1/362.8
2023-03-08,マイジャグラーV,127,1098,+17,4,3,1/156.9,1/274.5,1/366.0
2023-03-08,マイジャグラーV,128,2361,+236,11,4,1/157.4,1/214.6,1/590.2
2023-03-08,マイジャグラーV,平均,1637,-27,6,4,1/163.7,1/258.4,1/446.4
2023-03-08,GI優駿倶楽部3,68,557,-131,0,3,1/185.7,1/0.0,1/185.7
2023-03-08,GI優駿倶楽部3,70,1739,+258,2,6,1/217.4,1/869.5,1/289.8
2023-03-08,GI優駿倶楽部3,平均,1148,+64,1,4,1/208.7,1/1148.0,1/255.1
2023-03-08,ひぐらしのなく頃に祭2,21,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,ひぐらしのなく頃に祭2,22,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,ひぐらしのなく頃に祭2,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,チバリヨ‐25,66,525,-70,2,0,1/262.5,1/262.5,1/0.0
2023-03-08,チバリヨ‐25,67,514,-607,0,1,1/514.0,1/0.0,1/514.0
2023-03-08,チバリヨ‐25,平均,520,-338,1,0,1/346.3,1/519.5,1/1039.0
2023-03-08,ニューパルサーDX3,113,790,-249,2,1,1/263.3,1/395.0,1/790.0
2023-03-08,ニューパルサーDX3,115,3205,-415,7,12,1/168.7,1/457.9,1/267.1
2023-03-08,ニューパルサーDX3,平均,1998,-332,4,6,1/181.6,1/443.9,1/307.3
2023-03-08,ニューパルサーSPⅢ,133,2515,-169,10,3,1/193.5,1/251.5,1/838.3
2023-03-08,ニューパルサーSPⅢ,135,2710,-585,8,7,1/180.7,1/338.8,1/387.1
2023-03-08,ニューパルサーSPⅢ,平均,2612,-377,9,5,1/186.6,1/290.3,1/522.5
2023-03-08,ハードボイルド,18,2099,+1888,8,4,1/174.9,1/262.4,1/524.8
2023-03-08,ハードボイルド,20,694,-516,1,2,1/231.3,1/694.0,1/347.0
2023-03-08,ハードボイルド,平均,1396,+686,4,3,1/186.2,1/310.3,1/465.5
2023-03-08,リノヘブン,701,772,+575,4,5,1/85.8,1/193.0,1/154.4
2023-03-08,リノヘブン,703,204,-304,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,リノヘブン,平均,488,+136,2,2,1/108.4,1/244.0,1/195.2
2023-03-08,主役は銭形3,13,812,+1528,4,3,1/116.0,1/203.0,1/270.7
2023-03-08,主役は銭形3,15,132,-173,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,主役は銭形3,平均,472,+678,2,2,1/134.9,1/236.0,1/314.7
2023-03-08,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,718,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,720,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,新ハナビ,136,476,+306,2,2,1/119.0,1/238.0,1/238.0
2023-03-08,新ハナビ,137,2238,+466,9,4,1/172.2,1/248.7,1/559.5
2023-03-08,新ハナビ,平均,1357,+386,6,3,1/159.6,1/246.7,1/452.3
2023-03-08,甲鉄城のカバネリ,16,2167,-306,13,5,1/120.4,1/166.7,1/433.4
2023-03-08,甲鉄城のカバネリ,17,4508,-231,28,13,1/110.0,1/161.0,1/346.8
2023-03-08,甲鉄城のカバネリ,平均,3338,-268,20,9,1/113.1,1/162.8,1/370.8
2023-03-08,盾の勇者の成り上がり,63,955,-707,8,3,1/86.8,1/119.4,1/318.3
2023-03-08,盾の勇者の成り上がり,65,617,+57,7,3,1/61.7,1/88.1,1/205.7
2023-03-08,盾の勇者の成り上がり,平均,786,-325,8,3,1/74.9,1/104.8,1/262.0
2023-03-08,花火絶景,108,11,-18,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,花火絶景,110,629,-248,1,0,1/629.0,1/629.0,1/0.0
2023-03-08,花火絶景,平均,320,-133,0,0,1/640.0,1/640.0,1/0.0
2023-03-08,閉鎖,700,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,閉鎖,702,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,閉鎖,平均,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,闘魂継承 アントニオ猪木という名のパチスロ機,1,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,モンスターハンター:ワールドTM 黄金狩猟,2,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,新鬼武者～DAWN OF DREAMS～,3,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,アラジンAクラシック,5,25,-55,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,鉄拳4アルティメットデビルVer.,6,506,+457,1,2,1/168.7,1/506.0,1/253.0
2023-03-08,GANTZ極 THE SURVIVAL GAME,7,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,花の慶次～武威～,8,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,ラブ嬢2,10,22,-48,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,キャッツアイ,11,819,+100,4,4,1/102.4,1/204.8,1/204.8
2023-03-08,バジリスク絆2,12,89,-89,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,HEY!鏡,23,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,政宗 戦極,25,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,黄門ちゃまV女神盛‐MEGAMORI‐,26,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,とある科学の超電磁砲,27,772,-603,5,1,1/128.7,1/154.4,1/772.0
2023-03-08,サラリーマン金太郎～MAX～,28,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,機動戦士ガンダムユニコーン,30,6126,+1355,109,9,1/51.9,1/56.2,1/680.7
2023-03-08,ノーゲーム・ノーライフ,31,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,新鬼武者2,32,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,交響詩篇エウレカセブン3 HI-EVOLUTION ZERO,33,0,0,0,0,1/0.0,1/0.0,1/0.0
2023-03-08,犬夜叉,35,491,+607,11,1,1/40.9,1/44.6,1/491.0
2023-03-08,コードギアス反逆のルルーシュ3,36,67,-25,1,0,1/67.0,1/67.0,1/0.0
2023-03-08,押忍!番長ZERO,37,696,-781,2,0,1/348.0,1/348.0,1/0.0
