機種名,G数,差枚,BB,RB,BB確率,RB確率,合成確率,機械割,総G数,総差枚
516_(エヴァンゲリオン ～未来への創造～),268,-100,0,1,0,268.0,268.0,87.6,3753,-1400
517_(エヴァンゲリオン ～未来への創造～),364,-264,0,1,0,364.0,364.0,75.8,5092,-3700
327_(キン肉マン～7人の悪魔超人編～),1154,-36,10,3,115.4,384.7,88.8,99.0,16151,-500
328_(キン肉マン～7人の悪魔超人編～),1327,114,13,3,102.1,442.3,82.9,102.9,18578,1600
329_(キン肉マン～7人の悪魔超人編～),1584,7,14,4,113.1,396.0,88.0,100.1,22173,100
398_(大工の源さん 超夢源),2560,-264,61,1,42.0,2560.0,41.3,96.6,35846,-3700
399_(大工の源さん 超夢源),2505,-671,48,1,52.2,2505.0,51.1,91.1,35070,-9400
400_(大工の源さん 超夢源),2850,-64,69,1,41.3,2850.0,40.7,99.3,39895,-900
395_(転生したらスライムだった件),1481,-79,16,5,92.6,296.2,70.5,98.2,20737,-1100
526_(にゃんこ大戦争 BIGBANG),107,-129,2,0,53.5,0,0,59.8,1502,-1800
527_(にゃんこ大戦争 BIGBANG),92,7,2,0,46.0,0,0,102.5,1283,100
393_(麻雀格闘倶楽部 覚醒),1306,229,10,6,130.6,217.7,81.6,105.8,18286,3200
